#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2014.0000326,"COPISTERIA DE CASTELLON, S.L.",16/01/14. COPIAS PLANOS PARA ACTIVIDADES.,18/03/2014,"117,61 €",6,15124,22000
2014.0000991,TRANSPORTES ALEGRE MONFERRER SL,ENERO/14. SERVICIO DE RETIRADA DE ESCOMBROS DEL TALLER DE EMPLEO.,20/03/2014,"192,57 €",5,24120,20300
2014.0000992,PLACIDO GOMEZ SL,ADQUISICIÓN LIBROS PARA SU USO POR TALLER DE EMPLEO.,20/03/2014,"228,75 €",5,24120,22000
2014.0000996,PLACIDO GOMEZ SL,MATERIAL DIDACTICO Y DE PAPELERIA PARA SU USO POR TALLER DE EMPLEO.,20/03/2014,"960,33 €",5,24120,22000
2014.0000997,"MAPFRE ESPAÑA, CIA SEGUROS Y REASEGUROS S.A.",DEL 17/02 AL 27/02/14. SEGURO RESPONSABILIDAD CIVIL DEL VEHICULO INDUSTRIAL PARA EL MOVIMIENTO DE MATERIAL DEL TALLER EMPLEO CIUDAD SOLIDARIDAD,20/03/2014,"66,82 €",5,24120,22699
2014.0000998,DISMELCAS SL,"MATERIALES (INTERRUPTORES, CAJAS DERIVACION, TUBOS FLUORESCENTES...) PARA EL MODULO DE ELECTRICIDAD DEL TALLER DE EMPLEO.",20/03/2014,"4.434,47 €",5,24120,22199
2014.0001035,SDAD ESPAÑOLA CARBUROS METALICOS SA,31/01/14. SUMINISTRO GAS PARA SOLDAR TALLER DE EMPLEO.,20/03/2014,"478,43 €",5,24120,22199
2014.0001291,PLACIDO GOMEZ SL,SUMINISTRO CARTUCHO IMPRESORA PARA SU USO EN EL TALLER DE EMPLEO.,01/04/2014,"30,68 €",5,24120,22000
2014.0001293,"PADEL PINTURAS, S.L.","MATERIALES (DISOLVENTE, PINTURA, PISTOLAS AEROGRAFICAS...) PARA MODULO DE CARPINTERIA METALICA Y DE PVC DEL TALLER DE EMPLEO.",01/04/2014,"1.230,41 €",5,24120,22199
2014.0001294,SUMINISTROS TAYMON CASTELLON SL,"MATERIALES (TAPONES, RACORS, MACHONES, ABRAZADERAS...) PARA EL MODULO DE FONTANERIA DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD V.",01/04/2014,"3.587,11 €",5,24120,22199
2014.0001499,"COMERCIAL CASTILLO 88, S.A.","MATERIALES (LLAVES FIJAS E INGLESAS, FLEXOMETROS, PISTOLA PARA SILICONA, CORTATUBOS...) PARA EL MODULO DE FONTANERIA DEL TALLER DE EMPLEO.",08/04/2014,"3.616,31 €",5,24120,22199
2014.0001552,VIROSMA SL,"17/03/14. MATERIALES (CHAPA, PERFILES, PLETINAS, VARILLAS, TUBOS...) PARA EL MODULO DE CARPINTERIA METALICA TALLER DE EMPLEO CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF",16/04/2014,"5.634,45 €",5,24120,22199
2014.0001944,SDAD ESPAÑOLA CARBUROS METALICOS SA,01/04/14. SUMINISTRO GAS PARA SOLDAR TALLER DE EMPLEO.,14/05/2014,"274,14 €",5,24120,22199
2014.0001945,SDAD ESPAÑOLA CARBUROS METALICOS SA,31/03/14. SUMINISTRO GAS PARA SOLDAR TALLER DE EMPLEO.,14/05/2014,"68,27 €",5,24120,22199
2014.0001946,"COMERCIAL CASTILLO 88, S.A.","HERRAMIENTAS (DESTORNILLADORES, ALICATES, BROCAS, LLAVES...) PARA EL MODULO DE MONTAJE Y MANTENIMIENTO DE INSTALACIONES ELECTRICAS DE BAJA TENSION DEL TALLER DE EMPLEO.",14/05/2014,"1.827,41 €",5,24120,22199
2014.0001947,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,"MATERIALES (BROCAS, TORNILLOS, ARANDELAS, FLEXOMETROS...) PARA EL MODULO DE CARPINTERIA METALICA Y PVC DEL TALLER DE EMPLEO.",14/05/2014,"2.673,82 €",5,24120,22199
2014.0001948,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PISO PORCELANICO Y RODAPIES PARA EL MODULO DE ALBAÑILERIA DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD V. SUBVENCION SERVEF,14/05/2014,"2.420,00 €",5,24120,22199
2014.0001950,TRANSPORTES ALEGRE MONFERRER SL,MARZO/14. SERVICIO DE RETIRADA DE ESCOMBROS DEL TALLER DE EMPLEO.,14/05/2014,"136,91 €",5,24120,20300
2014.0002168,CASMAR 2000 S.A.,"HERRAMIENTAS (ESCALERAS, ELEVADOR, COLUMNA ELEVADOR, BIPODE...) PARA EL MODULO DE MONTAJE Y MANTENIMIENTO DE INSTALACIONES ELECTRICAS DE BAJA TENSION DEL TALLER DE EMPLEO.",29/05/2014,"4.846,66 €",5,24120,62300
2014.0002223,"ALUVAL, S.A.","MATERIALES DE ALUMINIO (MARCOS, HOJAS, CIERRES, ESCUADRAS, BISAGRAS...)  PARA EL MODULO DE CARPINTERIA METALICA Y DE PVC DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD V. SUBVENCION SERVEF",29/05/2014,"1.869,28 €",5,24120,22199
2014.0002224,DISMELCAS SL,"MATERIALES (TUBO CORRUGADO, DETECTOR MOVIMIENTO, TOMA SCHUKO,...) PARA EL MODULO DE ELECTRICIDAD DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD V. SUBVENCION SERVEF",29/05/2014,"2.646,48 €",5,24120,22199
2014.0002225,DISMELCAS SL,"MATERIALES (MAGNETOTERMICOS, REGLETAS, TUBO, CABLE...) PARA EL MODULO DE ELECTRICIDAD DEL T.E. CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF",29/05/2014,"5.818,14 €",5,24120,22199
2014.0002435,"PADEL PINTURAS, S.L.","MATERIALES (PINTURA, PALETINAS, PINCELES, BROCHAS, LIJA...) PARA EL MODULO DE CARPINTERIA METALICA DEL T.E. CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF",05/06/2014,"3.376,44 €",5,24120,22199
2014.0002436,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,"SUMINISTRO UTILLAJE Y  HERRAMIENTAS(MINIAMOLADORAS,ESCOBILLAS,LIMAS,BROCAS,ETC.) PARA MODULO MONTAJE Y MANTENIMIENTO CARPINTERIA METALICA Y DE P.V.C.  DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V",05/06/2014,"4.289,04 €",5,24120,62300
2014.0002437,BARNICES VALENTINE SAU,PINTURA (ESMALTES Y OXIGEL FORJA VARIOS COLORES) PARA EL MODULO DE CARPINTERIA METALICA DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF,05/06/2014,"256,69 €",5,24120,22199
2014.0002438,MATERIALES DE CONSTRUCCION RAFAEL VIDAL SL,"MATERIALES (LADRILLOS, ESCAYOLA, YESO, CEMENTO...) PARA REHABILITACION DE VIVIENDAS MUNICIPALES POR EL MODULO DE ALBAÑILERIA DEL T.E. CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF",05/06/2014,"3.832,24 €",5,24120,22199
2014.0002440,PLACIDO GOMEZ SL,30/04/14. MATERIAL DE OFICINA PARA SU USO POR TALLER DE EMPLEO.,05/06/2014,"471,28 €",5,24120,22000
2014.0002633,CASTEMADER SL,"SUMINISTRO DE TABLEROS Y MOBILIARIO(CAJONERAS,MODULOS,...) PARA EQUIPAMIENTO AULA MULTIUSOS Y DESPACHOS DEL EDIFICIO DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V",11/06/2014,"7.274,42 €",5,24120,62300
2014.0002634,PLACIDO GOMEZ SL,09/05/14. MATERIAL DE OFICINA PARA SU USO POR EL TALLER DE EMPLEO.,11/06/2014,"91,28 €",5,24120,22000
2014.0002649,CASMAR 2000 S.A.,"SUMINISTRO HERRAMIENTAS (RADIALES, ESCOBILLAS, MANOMETROS,LLANAS,...) PARA MODULO ALBAÑILERIA DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V",11/06/2014,"5.118,78 €",5,24120,62300
2014.0002650,CASMAR 2000 S.A.,CAMISETAS DE VERANO SERIGRAFIADAS CON LOS LOGOS OFICIALES PARA EL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF,11/06/2014,"346,67 €",5,24120,22104
2014.0002769,SERTEC 2011 SL,"SANITARIOS (FREGADEROS,GRIFOS,PLATOS DUCHA,LAVABOS,INODOROS ...) PARA MODULO DE FONTANERIA DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V",01/07/2014,"8.353,50 €",5,24120,62300
2014.0002965,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MAYO/14. ALQUILER DE UN VEHICULO 9 PLAZAS PARA TRANSPORTE MATERIAL Y HERRAMIENTAS A VIVIENDAS SOCIALES MUNICIPALES QUE SE VAN A  REHABILITAR POR EL TALLER DE EMPLEO.,01/07/2014,"1.012,77 €",5,24120,20400
2014.0003233,MATERIALES DE CONSTRUCCION RAFAEL VIDAL SL,500 M2 DE AZULEJOS PARA REHABILITAR VIVIENDAS SOCIALES POR LOS ALUMNOS DEL MODULO DE ALBAÑILERIA DEL TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD V,25/09/2014,"2.878,59 €",5,24120,22199
2014.0003302,"COMERCIAL DE FUSTERIA BENAGES,S.L.",03/06/14. PREMARCOS MONTADOS EN PUERTAS VIVIENDAS PARA REHABILITACION DE VIVIENDAS SOCIALES POR ALUMNOS DEL MODULO DE ALBAÑILERIA DEL T.E.CIUDAD SOLIDARIDAD V,03/10/2014,"864,67 €",5,24120,22199
2014.0003303,LUBATECNIC SL,MONOBLOCK DE ALUMINIO BLANCO Y VENECIANAS DE ALUMINIO PARA EL MODULO DE CARPINTERIA METALICA Y DE PVC DE T.E. CIUDAD SOLIDARIDAD V. SUBVENCION SERVEF,03/10/2014,"1.961,95 €",5,24120,22199
2014.0003310,RICARDO PERIS SL,"LADRILLOS HUECOS, YESO, CEMENTO Y ESCAYOLA PARA LA REHABILITACION DE VIVIENDAS SOCIALES POR LOS ALUMNOS DEL MODULO DE ALBAÑILERIA DE LA E.T.CIUDAD SOLIDARIDAD V",25/09/2014,"675,47 €",5,24120,22199
2014.0003311,MARMOLES CUEVAS 1981 CB,PIEZAS DE MARMOL PARA REHABILITACION COCINAS DE VIVIENDAS MUNICIPALES POR ALUMNOS DEL MODULO DE FONTANERIA DEL T.E.CIUDAD SOLIDARIDAD V,31/10/2014,"1.576,87 €",5,24120,22199
2014.0003510,"ALUVAL, S.A.","MATERIALES DE ALUMINIO (MARCOS, HOJAS, BISAGRAS, ANGULOS, ETC.) PARA EL MODULO DE MONTAJE Y MANTENIMIENTO DE CARPINTERIA METALICA Y DE PVC DEL T.E. CIUDAD SOLIDARIDAD V",03/10/2014,"1.502,07 €",5,24120,22199
2014.0003552,ELECTRODOMESTICOS MAGBOUHER SLU,SUMINISTRO ELECTRODOMESTICOS (ENCIMERAS DE GAS Y HORNO ELECTRICOS) PARA REHABILITACION DE VIVIENDAS SOCIALES POR ALUMNOS-TRABAJADORES DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V,31/10/2014,"1.787,92 €",5,24120,22199
2014.0003868,"COMERCIAL DE FUSTERIA BENAGES,S.L.",SUM.PUERTAS Y MODULOS PARA LAS COCINAS EN TRABAJOS REHABILITACION DE VIVIENDAS SOCIALES POR ALUMNOS DISTINTOS MODULOS DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V,25/09/2014,"17.567,36 €",5,24120,62300
2014.0003935,"COMERCIAL CASTILLO 88, S.A.","HERRAMIENTAS (PIZARRAS MAGNETICAS,TORNILLOS, ELECTRODOS,DISCOS ...) PARA REHABILITACION DE VIVIENDAS SOCIALES POR ALUMNOS-TRABAJADORES DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V",06/11/2014,"2.323,65 €",5,24120,62300
2014.0004033,TRANSPORTES ALEGRE MONFERRER SL,JUNIO/14. TRABAJOS DE RETIRADA DE ESCOMBROS EN EL TALLER DE EMPLEO.,03/10/2014,"127,59 €",5,24120,20300
2014.0004034,"SUMINISTROS SEQUIOL, S.L.L.",MAMPARAS 80X80 PARA SU INSTALACION EN DUCHAS PARA REHABILITACION DE VIVIENDAS SOCIALES POR ALUMNOS-TRABAJADORES MODULO FONTANERIA DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD V,03/10/2014,"1.161,60 €",5,24120,22199
2014.0004129,SDAD ESPAÑOLA CARBUROS METALICOS SA,30/06/14. SUMINISTRO GAS PARA SOLDAR PARA SU USO POR TALLER DE EMPLEO.,03/10/2014,"80,73 €",5,24120,22199
2014.0004130,CRISTALERIA EDO ROVIRA SL,"CRISTALES (MATE, CARGLAS, CLIMALIT) PARA PUERTAS Y VENTANAS EN INSTALACIONES TALLER DE EMPLEO Y VIVIENDAS SOCIALES MUNICIPALES OBJETO REHABILITACIÓN, POR ALUMNOS-TRABAJADORES DEL TALLER DE EMPLEO",03/10/2014,"1.113,07 €",5,24120,22199
2014.0004131,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JUNIO-JULIO/14. ALQUILER DE UN VEHICULO 9 PLAZAS PARA TRANSPORTE MATERIAL Y HERRAMIENTAS A VIVIENDAS SOCIALES MUNICIPALES QUE SE VAN A  REHABILITAR POR EL T.E.CIUDAD SOLIDARIDAD,03/10/2014,"980,10 €",5,24120,20400
2014.0004221,REPARACIONES SERVICAS SL,17/07/14. REPARACIÓN REGATADORA DEL TALLER DE EMPLEO.,31/10/2014,"213,81 €",5,24120,21300
2014.0004586,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JULIO/14. ALQUILER VEHICULO PARA TRANSPORTE MATERIAL,23/12/2014,"1.012,77 €",5,24120,20400
2014.0004742,VIROSMA SL,01/09/14. MATERIAL PARA SU USO POR TALLER DE EMPLEO V,12/11/2014,"4.624,14 €",5,24120,22199
2014.0004743,"COMERCIAL CASTILLO 88, S.A.",MATERIAL PARA SU USO POR TALLER DE EMPLEO,12/11/2014,"2.493,46 €",5,24120,22199
2014.0005197,SDAD ESPAÑOLA CARBUROS METALICOS SA,31/07/14. SUMINISTRO GAS PARA SOLDAR PARA SU USO POR TALLER DE EMPLEO.,23/12/2014,"161,46 €",5,24120,22199
2014.0005220,RICARDO PERIS SL,30/09/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR TALLER DE EMPLEO.,23/12/2014,"2.585,41 €",5,24120,22199
2014.0005242,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SEPTIEMBRE/14. ALQUILER VEHICULO PARA SU USO POR TALLER DE EMPLEO.,23/12/2014,"980,10 €",5,24120,20400
2014.0006310,TRANSPORTES ALEGRE MONFERRER SL,20/11/14. TRABAJOS REALIZADOS PARA TALLER DE EMPLEO V.,30/12/2014,"131,77 €",5,24120,20300
2014.0006355,CASMAR 2000 S.A.,25/11/14. SUMINISTRO DE MATERIAL PARA USO DEL TALLER DE EMPLEO.,30/12/2014,"554,00 €",5,24120,62300
2014.0006395,PINTURAS DORALPIN SL.,21/11/14. SUMINISTRO DE MATERIAL PARA USO EL TALLER DE EMPLEO.,30/12/2014,"311,94 €",5,24120,22199
2014.0006642,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,NOVIEMBRE/14. ALQUILER DE UN VEHICULO PARA TRANSPORTE MATERIAL Y HERRAMIENTAS TALLER DE EMPLEO.,30/12/2014,"980,10 €",5,24120,20400
2014.0001295,PLACIDO GOMEZ SL,"MATERIALES DIDACTICOS (LIBROS, GUIAS...) PARA EL CURSO DE MONTAJE Y MANTENIMIENTO DE REDES DE AGUA, FORMACION PROFESIONAL PARA EL EMPLEO, FORMACION PARA LA INSERCION",01/04/2014,"686,20 €",5,24180,22199
2014.0001392,CASMAR 2000 S.A.,ADQUISICIÓN VESTUARIO PARA TALLER ESPECIAL DE MONTAJE Y MANTENIMIENTO REDES DE AGUA.,08/04/2014,"157,30 €",5,24180,22104
2014.0001416,VIROSMA SL,TUBO Y CHAPA PARA EL CURSO DE MONTAJE Y MANTENIMIENTO DE REDES DE AGUA. SUBVENCION SERVEF,08/04/2014,"452,25 €",5,24180,22199
2014.0001553,"SUMINISTROS SEQUIOL, S.L.L.","MATERIALES (MANGUITOS, ENTRONQUES, TUBERIAS...) PARA EL CURSO DE MONTAJE Y MANTENIMIENTO DE REDES DE AGUA DEL PROGRAMA FORMACION PROFESIONAL PARA EL EMPLEO. SUBVENCION SERVEF",16/04/2014,"5.425,39 €",5,24180,22199
2014.0001554,SUMINISTROS TAYMON CASTELLON SL,"MATERIALES (TUBO, CODOS, MANGUITOS, CORTATUBOS...) PARA EL CURSO DE MONTAJE Y MANTENIMIENTO DE REDES DE AGUA. SUBVENCION SERVEF",16/04/2014,"5.904,53 €",5,24180,22199
2014.0001949,CASMAR 2000 S.A.,24 CAMISETAS DE MANGA CORTA SERIGRAFIADAS CON LOS LOGOS DEL AYUNTAMIENTO PARA EL CURSO DE MONTAJE Y MANTENIMIENTO DE REDES DE AGUA. SUBVENCION SERVEF,14/05/2014,"80,83 €",5,24180,22104
2014.0002169,SDAD ESPAÑOLA CARBUROS METALICOS SA,28/03/14. GAS PARA SOLDAR PARA SU USO EN EL CURSO DE REDES DE AGUA.,29/05/2014,"80,73 €",5,24180,22199
2014.0002170,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,"MATERIALES (EQUIPO SOLDADURA TIG, GATO, TENAZAS, CRISTALES INACTINICOS..) PARA EL CURSO DE REDES DE AGUA. SUBVENCION SERVEF",29/05/2014,"5.945,12 €",5,24180,22199
2014.0002433,SUMINISTROS TAYMON CASTELLON SL,"MATERIALES (BOMBA, RACOR, TAPONES, GRIFOS..) PARA EL CURSO DE MONTAJE Y MANTENIMIENTO DE REDES DE AGUA. SUBVENCION SERVEF",05/06/2014,"9.063,02 €",5,24180,22199
2014.0005473,TRANSPORTES ALEGRE MONFERRER SL,SEPTIEMBRE/14. TRABAJOS DE RETIRADA DE ESCOMBROS DE LA ESCUELA TALLER.,23/12/2014,"63,59 €",6,13320,227992
2014.0005984,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,30/09/14. ALQUILER VEHÍCULO MERCEDES VITO MATRICULA 4438-FSK PARA TALLER DE EMPLEO V.,23/12/2014,"1.012,77 €",5,24120,20400
2014.0000090,PLUS ULTRA SEGUROS GENERALES Y VIDA SA,"DEL 29/12/13 AL 04/06/14. PÓLIZA DE SEGUROS ALUMNOS CURSO FORMACIÓN PROFESIONAL PARA EL EMPLEO ""MONTAJE Y MANTENIMIENTO DE REDES DE AGUA"".",28/02/2014,"277,20 €",5,24180,16205
2014.0000456,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE/13. REPORTAJES FOTOGRÁFICOS IV MARATÓN CIUDAD DE CASTELLÓN.,27/02/2014,"1.149,50 €",1,91200,226990
2014.0000460,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,21/01/14. GASTOS VIAJE SR. CONCEJAL CON MOTIVO DE LA REUNIÓN DE CIUDADES INTELIGENTES DE LA FEMP A MALAGA-MADRID.,10/02/2014,"33,10 €",1,91200,23000
2014.0000465,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ENERO/14. SERVICIO DE PROTOCOLO DEL AYUNTAMIENTO DE CASTELLON DE LA PLANA. DEC 02-01-14,04/02/2014,"2.670,90 €",1,91200,226011
2014.0000758,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,8 y 9/02/14. GASTOS VIALE SR. CONCEJAL CON MOTIVO DE LA PROCLAMACIÓN DE LAS REINAS DE LA CASA DE CASTELLÓN EN ZARAGOZA.,28/02/2014,"183,70 €",1,91200,23100
2014.0000842,CASTELLO VENDIG SL,31/01/13. SUMINISTRO PARA LA CAFETERA. ORGANOS DE GOBIERNO.,10/03/2014,"303,94 €",1,91200,226990
2014.0000848,"GARCIA SORRIBES, S.L.",ENERO/14. SUMINISTRO AGUA ORGANOS DE GOBIERNO.,31/03/2014,"107,18 €",1,91200,226990
2014.0000859,"GARCIA SORRIBES, S.L.",DICIEMBRE/13. SUMINISTRO AGUA ORGANOS DE GOBIERNO.,29/05/2014,"107,18 €",1,91200,226990
2014.0000960,"PIROTECNIA CATALANA,S.A.",SUMINISTRO MATERIAL PIROTECNICO PARA SU USO EN EL BOTAFOCS SANT ANTONI.,18/03/2014,"900,00 €",1,91200,226991
2014.0000987,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,FEBRERO/14. SERVICIO DE PROTOCOLO DEL AYUNTAMIENTO DE CASTELLON DE LA PLANA. DEC 02-01-14,04/03/2014,"2.670,91 €",1,91200,226011
2014.0001327,DURACO ESTAMPACION Y SERIGRAFIA SL,SUMINISTRO DE CINTAS DE LA MAGDALENA PARA LA TENENCIA ALCALDÍA DEL GRAO.,31/03/2014,"363,00 €",1,91200,226991
2014.0001354,CASTELLO VENDIG SL,FEBRERO/14. SUMINISTRO PARA LA CAFETERA. ORGANOS DE GOBIERNO.,07/04/2014,"367,27 €",1,91200,226990
2014.0001576,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MARZO/14. SERVICIO DE PROTOCOLO DEL AYUNTAMIENTO DE CASTELLON DE LA PLANA. DEC 02-01-14,01/04/2014,"2.670,91 €",1,91200,226011
2014.0001580,NOCLAFILMS PRODUCCIONES SL,RENOVACION LICENCIA DE EMISION MUSICA SPOT DE LA MADALENA  Y DE LA LICENCIA PARA LA EMISION EN INTERNET.,16/04/2014,"348,48 €",1,91200,226021
2014.0001674,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,14/03/14. GASTOS VIAJE CARMEN QUEROL CON MOTIVO DE LA REUNIÓN EN EL MINISTERIO DE TRABAJO EN MADRID.,16/04/2014,"43,45 €",1,91201,226990
2014.0001674,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,14/03/14. GASTOS VIAJE CARMEN QUEROL CON MOTIVO DE LA REUNIÓN EN EL MINISTERIO DE TRABAJO EN MADRID.,16/04/2014,"43,45 €",1,91201,226990
2014.0001928,"GARCIA SORRIBES, S.L.",FEBRERO/14. SUMINISTRO AGUA ORGANOS DE GOBIERNO.,09/05/2014,"102,72 €",1,91200,226990
2014.0001929,"GARCIA SORRIBES, S.L.",MARZO/14. SUMINISTRO AGUA ORGANOS DE GOBIERNO.,09/05/2014,"80,39 €",1,91200,226990
