#ORG.,PROG.,ECON.,DESCRIPCION, CREDITOS             INICIALES,MODIFIC.,    CREDITOS             DEFINITIVOS, OBLIGACIONES       RECONOCIDAS
4.0,01100,91324.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA (RDL 5/2009),1250000.0,,1250000.0,1250000.0
4.0,01100,91325.0,DEUDA PUBLICA.- AMORTIZACIÓN PRÉST BBVA 2011 (ICO),1598006.16,,1598006.16,1598006.15
4.0,01100,91326.0,DEUDA PUBLICA.- AMORTIZ PRÉST SANTANDER 2011 (ICO),532005.98,,532005.98,532006.01
4.0,01100,91339.0,"DEUDA PUBLICA.-AMORT.PRES.BANKIA,SA.(2012) (GUMSA)",78750.0,,78750.0,78750.0
4.0,01100,91340.0,DEUDA PUBLICA.-AMORT.PRES.B.SABADELL(2012) (GUMSA),19787.2,500.0,20287.2,20027.17
7.0,13000.0,12000.0,SEC.ADMIN.SEG. PUBLICA.- SUELDOS DEL GRUPO A1,14677.32,,14677.32,14782.56
7.0,13000.0,12003.0,SEC.ADMIN.SEG. PUBLICA.- SUELDOS DEL GRUPO C1,19769.68,,19769.68,20327.93
7.0,13000.0,12004.0,SEC.ADMIN.SEG. PUBLICA.- SUELDOS DEL GRUPO C2,41892.9,,41892.9,42429.76
7.0,13000.0,12005.0,SEC.ADMIN.SEG. PUBLICA.- SUELDOS DEL GRUPO E,7678.58,,7678.58,7867.16
7.0,13000.0,12006.0,SEC.ADMIN.SEG. PUBLICA.- TRIENIOS,12991.63,,12991.63,13049.67
7.0,13000.0,12100.0,SEC.ADMIN.SEG. PUBLICA.- COMPLEMENTO DE DESTINO,52202.22,,52202.22,51644.68
7.0,13000.0,12101.0,SEC.ADMIN.SEG. PUBLICA.- COMPLEMENTO ESPECÍFICO,102414.91,,102414.91,101876.41
7.0,13000.0,12103.0,SEC.ADM.SEG.-O.COMPLEM.- (ATRIB.FUN.-I.T.),,,,301.91
7.0,13000.0,150.0,SECCION ADMIN.SEG.PUBL.-PRODUCTIVIDAD,1500.98,,1500.98,1565.75
7.0,13000.0,151.0,SECCION ADMIN.SEG.PUBL.-GRATIFICACIONES,299.74,,299.74,
7.0,13000.0,16000.0,SEC.ADMIN.SEG. PUBLICA.- SEGURIDAD SOCIAL,72943.4,4180.36,77123.76,76446.28
7.0,13001.0,12001.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO A2,12906.52,,12906.52,12403.32
7.0,13001.0,12003.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO C1,79078.72,,79078.72,68116.52
7.0,13001.0,12006.0,UNID.DIR.SEG. Y SERV.- TRIENIOS,17063.19,,17063.19,17097.52
7.0,13001.0,12100.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO DE DESTINO,58820.58,,58820.58,50420.06
7.0,13001.0,12101.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO ESPECÍFICO,145441.65,,145441.65,125238.22
7.0,13001.0,12103.0,UN.DIR.SEG.-O.COMPLEM.- (ATRIB.FUN.-I.T.),,,,3161.1
7.0,13001.0,150.0,UNID.DIRECC.SEG.Y SERV.- PRODUCTIVIDAD,47125.37,,47125.37,7214.34
7.0,13001.0,151.0,UNID. DIRECC.SEG. Y SERV.- GRATIFICACIONES,60850.46,,60850.46,1707.57
7.0,13001.0,16000.0,UNID.DIR.SEG. Y SERV.- SEGURIDAD SOCIAL,81136.52,3148.99,84285.51,84285.51
7.0,13200.0,12000.0,UNIDAD APOYO.-SUELDOS DEL GRUPO A1,44031.96,,44031.96,50158.83
7.0,13200.0,12001.0,UNIDAD APOYO.-SUELDOS DEL GRUPO A2,219410.84,,219410.84,206768.55
7.0,13200.0,12003.0,UNIDAD APOYO.-SUELDOS DEL GRUPO C1,2534239.32,,2534239.32,2484831.01
7.0,13200.0,12004.0,UNIDAD APOYO.-SUELDOS DEL GRUPO C2,8378.58,,8378.58,2256.55
7.0,13200.0,12006.0,UNIDAD APOYO.-TRIENIOS,466154.54,,466154.54,535256.97
7.0,13200.0,12009.0,UNI.APOYO.- OTRAS RETRIB.BÁSICAS (I.T.),,,,11889.16
7.0,13200.0,12100.0,UNIDAD APOYO.-COMPLEMENTO DE DESTINO,1794392.74,,1794392.74,1679997.62
7.0,13200.0,12101.0,UNIDAD APOYO.-COMPLEMENTO ESPECÍFICO,4100209.8,,4100209.8,3978887.63
7.0,13200.0,12103.0,UNIDAD APOYO.-OTROS COMPLEMENTOS(ATR.FUN.I.T.),,,,89205.39
7.0,13200.0,150.0,UNID. APOYO.- PRODUCTIVIDAD,264405.48,,264405.48,357887.18
7.0,13200.0,151.0,UNID. APOYO.- GRATIFICACIONES,70414.36,,70414.36,127114.01
7.0,13200.0,16000.0,UNIDAD APOYO.-SEGURIDAD SOCIAL,2807414.03,240297.48,3047711.51,3024826.23
7.0,13200.0,16200.0,UNID. APOYO.- FORMACIÓN EXTERNA (ESPAC 5.3),1000.0,,1000.0,270.0
7.0,13200.0,20300.0,UNID. APOYO.- ARRENDAMIENTO TERMINALES,141827.79,,141827.79,141827.76
7.0,13200.0,21301.0,UNID.APOYO.- REPARACIÓN FAXES (1.6),2000.0,,2000.0,
7.0,13200.0,21302.0,UNID.APOYO.- MANTENIMIENTO INSTALACIONES ESPAC,800.0,,800.0,794.17
7.0,13200.0,21400.0,UNID.APOYO.-MANTENIMIENTO VEHICULOS PARQUE INFANTI,800.0,,800.0,800.0
7.0,13200.0,22000.0,UNID.APOYO.- MATERIAL IMPRENTA PARQUE INFANTIL,800.0,,800.0,792.0
7.0,13200.0,22001.0,UNID.APOYO.-  LIBROS (ESPAC 5.6),500.0,,500.0,148.5
7.0,13200.0,221990.0,UNID.APOYO.- SUMINISTROS ESPAC (5.8),800.0,,800.0,812.11
7.0,13200.0,221991.0,UNID.APOYO.- SUMINISTROS PARQUE INFANTIL (ESPAC 5),700.0,,700.0,1335.0
7.0,13200.0,221992.0,UNIDAD APOYO.-SUMIN. VARIOS AREA SEGURIDAD PUBLICA,,,,3783.17
7.0,13200.0,22400.0,UNID.APOYO.- SEGURO PARQUE INFANTIL (ESPAC 5.10),1450.0,,1450.0,785.0
7.0,13200.0,22500.0,UNID.APOYO - TASA DOMINIO RADIOELEC Y OT.ANALOGOS,,,,263.45
7.0,13200.0,226011.0,UNID.APOYO.- PRTOCOLO PARQUE INFANTIL (ESPAC 5.10),1000.0,,1000.0,995.0
7.0,13200.0,226020.0,UNID.APOYO.- MARKETING ESPAC (5.9),600.0,,600.0,2581.03
7.0,13200.0,226021.0,UNID.APOYO.- MATERIAL PUBLICITARIO PARQUE INFANTIL,400.0,,400.0,394.23
7.0,13200.0,22606.0,UNID.APOYO.- FORMACIÓN CONTÍNUA (ESPAC 5.3),40000.0,,40000.0,7380.0
7.0,13200.0,226060.0,UNIDAD APOYO.-ORGANIZACION CONGRESOS,,18000.0,18000.0,24459.0
7.0,13200.0,22706.0,UNID.APOYO.- CERTIFICADO ISO 9001:2008 (1.2),9900.0,,9900.0,
7.0,13200.0,227061.0,UNID.APOYO.-PLAN COMUNICACION INTERNO,,,,10375.3
7.0,13200.0,227990.0,UNID.APOYO.- TRABAJOS REALIZADOS OTRAS EMPRESAS,,,,20714.08
7.0,13200.0,48100.0,UNID.APOYO.-PREMIOS CONCURSO ESCOLAR EDUC. VIAL,600.0,,600.0,525.0
7.0,13200.0,48900.0,UNID.APOYO.-  CONVENIO  CON  C.E.P.S. (UJI),18000.0,-18000.0,,
7.0,13210.0,221040.0,P.JUDICIAL .- VESTUARIO ESCOLTA (3.1),10000.0,,10000.0,9996.63
7.0,13220.0,221991.0,SEG.CIUD. - MATERIAL TÉCNICO U.C.E.,6000.0,,6000.0,6004.0
7.0,13230.0,20400.0,LOGIST.-  RENTING VEHICULOS (3.1),453458.0,,453458.0,404013.55
7.0,13230.0,20900.0,LOGIST.- MANTENIMIENTO BASE DATOS SIAPOL,7000.0,,7000.0,
7.0,13230.0,21300.0,LOGIST. - MANTENIMIENTO LOGÍSTICA (3.1),2000.0,,2000.0,
7.0,13230.0,21400.0,LOGIST. - MANTENIMIENTO PARQUE MÓVIL (3.1),43000.0,,43000.0,30032.84
7.0,13230.0,22000.0,LOGIST. - MATERIAL  DE OFICINA (3.1),6000.0,,6000.0,950.84
7.0,13230.0,22002.0,LOGIST. - PAPEL PDA (3.1),4000.0,,4000.0,
7.0,13230.0,220021.0,LOGIST. - MATERIAL INFORMATICO NO INVENTARIABLE,,,,1135.0
7.0,13230.0,22103.0,LOGIST. - SUMINISTRO DE COMBUSTIBLES AUTOMOCIÓN,102404.06,,102404.06,149824.11
7.0,13230.0,221041.0,LOGIST. -  VESTUARIO (4.2),180000.0,,180000.0,43739.37
7.0,13230.0,22112.0,LOGIST. - REPUESTOS MATERIAL FOTOGRÁFICO (3.1),1400.0,,1400.0,1534.08
7.0,13230.0,221121.0,LOGIST.-SUMINISTRO MATERIAL ELECTRONICO,,,,21775.96
7.0,13230.0,221990.0,LOGIST. - OTROS SUMINISTROS (3.1),24000.0,,24000.0,32489.98
7.0,13230.0,221991.0,LOGIST. - SUMINISTRO TIRO (2.3),8000.0,,8000.0,5000.33
7.0,13230.0,22201.0,LOGIST. - COMUNICACIONES POSTALES (3.1),2000.0,,2000.0,
7.0,13230.0,22300.0,LOGIST. - TRANSPORTES (3.1),3000.0,,3000.0,1161.6
7.0,13230.0,22400.0,LOGIST. - SEGURO FLOTA VEHÍCULOS,21534.89,,21534.89,16155.65
7.0,13230.0,22601.0,LOGIST. - ATENCIONES PROTOCOLARIAS (3.1),3000.0,,3000.0,5215.0
7.0,13230.0,22701.0,LOGIST. - EXTERNALIZACIÓN SERVICIOS (3.1),73018.97,,73018.97,80085.35
7.0,13230.0,227060.0,LOGIST.-EDICION MANUAL POLICIA,,,,4998.0
7.0,13240.0,21300.0,DISTRITO .- MANTENIMIENTO CASETAS PLAYA (6.2),5000.0,,5000.0,4945.3
7.0,13240.0,21400.0,DISTRITO .- REPARACIÓN BICICLETAS UPC (4.1),5000.0,,5000.0,2997.02
7.0,13240.0,221121.0,DISTRITO.-SUM.MAT.TELECOMUNICACIONES,,,,6271.7
7.0,13240.0,22199.0,DISTRITO.-SUMINISTROS UPC,,,,9998.33
7.0,13250.0,20400.0,AGRUP.TRÁFICO.- RENTING FURGÓN ATESTADOS (4.1),21600.96,,21600.96,20902.74
7.0,13250.0,20401.0,AGRUP.TRÁFICO.- FURGÓN ATESTADOS II Y III (4.1),21600.0,,21600.0,20211.97
7.0,13250.0,20402.0,AGRUP.TRÁFICO.- RENTING 6 MOTOCICLETAS (1.1),38336.4,,38336.4,38304.0
7.0,13250.0,20403.0,AGRUP.TRÁFICO.- RENTING 4 MOTOCICLETAS (1.1),33818.28,,33818.28,33818.28
7.0,13250.0,21300.0,AGRUP.TRÁFICO.-MANTENIM. ETILÓMETROS Y OTROS (4.1),10000.0,,10000.0,7713.68
7.0,13250.0,22799.0,AGRUP.TRÁFICO.- TRABAJOS PARA ATESTADOS (4.1),18000.0,,18000.0,
6.0,13300.0,12000.0,SEC.MOV.URBANA.- SUELDOS DEL GRUPO A1,14677.32,,14677.32,14808.87
6.0,13300.0,12004.0,SEC.MOV.URBANA.-SUELDOS DEL GRUPO C2,8378.58,,8378.58,8484.96
6.0,13300.0,12006.0,SEC.MOV.URBANA.-TRIENIOS,1634.79,,1634.79,1710.65
6.0,13300.0,12100.0,SEC.MOV.URBANA.-COMPLEMENTO DE DESTINO,13687.94,,13687.94,13687.94
6.0,13300.0,12101.0,SEC.MOV.URBANA.-COMPLEMENTO ESPECÍFICO,43281.13,,43281.13,43281.14
6.0,13300.0,150.0,SEC.MOV.URB.-PRODUCTIVIDAD,18.46,,18.46,
6.0,13300.0,151.0,SEC.MOV.URB.-GRATIFICACIONES,1074.01,,1074.01,1749.84
6.0,13300.0,16000.0,SEC.MOV.URBANA.- SEGURIDAD SOCIAL,12617.12,4925.4,17542.52,15354.85
6.0,13310.0,12001.0,MOVILIDAD URBANA.- SUELDOS DEL GRUPO A2,12906.52,,12906.52,12906.52
6.0,13310.0,12004.0,MOVILIDAD URBANA.- SUELDOS DEL GRUPO C2,8378.58,,8378.58,8454.96
6.0,13310.0,12006.0,MOVILIDAD URBANA.- TRIENIOS,1005.86,,1005.86,286.4
6.0,13310.0,12100.0,MOVILIDAD URBANA.- COMPLEMENTO DE DESTINO,11682.86,,11682.86,11682.86
6.0,13310.0,12101.0,MOVILIDAD URBANA.- COMPLEMENTO ESPECÍFICO,21900.7,,21900.7,21900.76
6.0,13310.0,150.0,MOVILIDAD .- PRODUCTIVIDAD,18.46,,18.46,
6.0,13310.0,151.0,MOVILIDAD .- GRATIFICACIONES,24.07,,24.07,
6.0,13310.0,16000.0,MOVILIDAD URBANA.- SEGURIDAD SOCIAL,12288.8,3700.0,15988.8,15927.0
6.0,13310.0,20400.0,MOVILIDAD.-  ARRENDAMIENTO MOTOCICLETA,5472.4,-5366.35,106.05,
6.0,13310.0,22000.0,MOVILIDAD .-  MATERIAL FUNGIBLE DE OFICINA,547.2,,547.2,281.67
6.0,13310.0,22001.0,MOVILIDAD .- LIBROS Y PUBLICACIONES,547.2,,547.2,182.0
6.0,13310.0,22002.0,MOVILIDAD .- MATERIAL INFORMÁTICO NO INVENTARIABLE,2283.2,,2283.2,2282.88
6.0,13310.0,22104.0,MOVILIDAD.- VESTUARIO AMUS,21763.14,,21763.14,19452.88
6.0,13310.0,22112.0,MOVILIDAD .- SUMINISTROS DE REPUESTOS ELECTRÓNICOS,547.2,-547.2,,
6.0,13310.0,22199.0,MOVILIDAD .- OTROS SUMINISTROS DE TRÁFICO,820.8,,820.8,2153.6
6.0,13310.0,22601.0,MOVILIDAD .- MATERIAL DE PROTOCOLO,1000.0,,1000.0,
6.0,13310.0,62400.0,MOVILIDAD.- ADQ.MOTOCICLETA AGENTES MOVILIDAD,,5913.55,5913.55,5913.55
6.0,13310.0,6270013.0,MOVILIDAD.- ACTUACIONES PLAN DE MOVILIDAD,,60443.69,60443.69,
6.0,13320.0,12001.0,TRÁFICO.- SUELDOS DEL GRUPO A2,12906.52,,12906.52,13570.52
6.0,13320.0,12004.0,TRÁFICO.- SUELDOS DEL GRUPO C2,8378.58,,8378.58,10817.85
6.0,13320.0,12005.0,TRÁFICO.- SUELDOS DEL GRUPO E,345536.1,,345536.1,325092.78
6.0,13320.0,12006.0,TRÁFICO.- TRIENIOS,9922.99,1390.79,11313.78,12578.28
6.0,13320.0,12009.0,TRAFICO.-OTRAS RETRIB.BÁSICAS (I.T.),,,,288.2
6.0,13320.0,12100.0,TRÁFICO.- COMPLEMENTO DE DESTINO,212910.32,,212910.32,194883.43
6.0,13320.0,12101.0,TRÁFICO.- COMPLEMENTO ESPECÍFICO,440324.44,,440324.44,431689.03
6.0,13320.0,12103.0,TRAFICO.-OTROS COMPLEMENTOS(ATR.FUN.I.T.),,,,14623.65
6.0,13320.0,150.0,TRÁFICO .- PRODUCTIVIDAD,19401.34,,19401.34,62474.22
6.0,13320.0,151.0,TRÁFICO .- GRATIFICACIONES,6444.03,,6444.03,10422.98
6.0,13320.0,16000.0,TRÁFICO.- SEGURIDAD SOCIAL,369989.19,17759.39,387748.58,377239.89
6.0,13320.0,227990.0,TRÁFICO .- RETIRADA DE VEHÍCULOS (1.4),600000.0,,600000.0,323691.91
6.0,13320.0,227991.0,TRÁFICO .- SEÑALIZACIÓN DE TRÁFICO (1.1),936398.06,,936398.06,936396.62
6.0,13320.0,227992.0,TRÁFICO .- APARCAMIENTO REGULADO (1.5),800000.0,,800000.0,174680.7
6.0,13320.0,227993.0,TRÁFICO .- BALIZAMIENTO Y VALLAS (1.3),60000.0,,60000.0,45272.84
6.0,13320.0,227994.0,TRÁFICO .- SEÑALIZACION HORIZONTAL (1.1),134677.0,,134677.0,134676.87
6.0,13320.0,227995.0,TRÁFICO .- SEÑALIZACION VERTICAL (1.1),427001.76,,427001.76,434691.49
6.0,13330.0,12004.0,UNIDAD SEMÁFOROS.- SUELDOS DEL GRUPO C2,8378.58,,8378.58,5987.04
6.0,13330.0,12006.0,UNIDAD SEMÁFOROS.- TRIENIOS,1156.74,,1156.74,707.96
6.0,13330.0,12100.0,UNIDAD SEMÁFOROS.- COMPLEMENTO DE DESTINO,5527.06,,5527.06,3947.9
6.0,13330.0,12101.0,UNIDAD SEMÁFOROS.- COMPLEMENTO ESPECÍFICO,9315.19,,9315.19,6653.7
6.0,13330.0,150.0,UNIDAD SEMÁFOROS.- PRODUCTIVIDAD,18.46,,18.46,900.0
6.0,13330.0,151.0,UNIDAD SEMÁFOROS.- GRATIFICACIONES,1074.01,,1074.01,
6.0,13330.0,16000.0,UNIDAD SEMÁFOROS.- SEGURIDAD SOCIAL,11480.0,-3784.04,7695.96,8216.11
7.0,13400.0,12001.0,PROT.CIVIL.- SUELDOS DEL GRUPO A2,12906.52,,12906.52,13362.82
7.0,13400.0,12004.0,PROT.CIVIL.- SUELDOS DEL GRUPO C2,8378.58,,8378.58,8552.68
7.0,13400.0,12006.0,PROT.CIVIL.- TRIENIOS,4670.11,62.91,4733.02,5059.82
7.0,13400.0,12100.0,PROT.CIVIL.- COMPLEMENTO DE DESTINO,12664.82,,12664.82,12639.35
7.0,13400.0,12101.0,PROT.CIVIL.- COMPLEMENTO ESPECÍFICO,27093.34,,27093.34,27084.63
7.0,13400.0,150.0,P. CIVIL .-PRODUCTIVIDAD,996.69,,996.69,
7.0,13400.0,151.0,P. CIVIL .-GRATIFICACIONES,1144.91,,1144.91,2209.24
7.0,13400.0,16000.0,PROT.CIVIL.- SEGURIDAD SOCIAL,28669.0,-9437.13,19231.87,19421.41
7.0,13400.0,16205.0,P. CIVIL .- SEGURO ACCIDENTES PERSONAL VOLUNTARIO,1350.0,,1350.0,169.8
7.0,13400.0,21300.0,P. CIVIL .- MANTENIMIENTO RED DE RADIO (3.7),770.0,,770.0,640.27
7.0,13400.0,22104.0,P. CIVIL .- VESTUARIO VOLUNTARIOS (3.5),2000.0,,2000.0,
7.0,13400.0,22105.0,P. CIVIL .- ALIMENTOS SERVICIO LARGA DURACIÓN (3.4,1500.0,,1500.0,875.0
7.0,13400.0,22199.0,P. CIVIL .- CINTA DELIMITADORA ZONA DE SEGURIDAD,480.0,,480.0,480.0
7.0,13400.0,226990.0,P. CIVIL .- ALBERGUE Y AVITUALLAMIENTO EMERGENCIAS,1100.0,,1100.0,
7.0,13400.0,226991.0,P. CIVIL .- GRATIFICACIONES A VOLUNTARIOS,1100.0,,1100.0,
7.0,13400.0,22799.0,P. CIVIL .- SERV.PREV.COBERTURA SANITARIA ACT.PUBL,27010.06,,27010.06,16860.4
7.0,13500.0,12001.0,EXTIN. INCENDIOS.- SUELDOS DEL GRUPO A2,38719.56,,38719.56,25141.37
7.0,13500.0,12003.0,EXTIN. INCENDIOS.- SUELDOS DEL GRUPO C1,790787.2,,790787.2,903413.85
7.0,13500.0,12004.0,EXTIN. INCENDIOS.- SUELDOS DEL GRUPO C2,201085.92,,201085.92,67011.13
7.0,13500.0,12006.0,EXTIN. INCENDIOS.- TRIENIOS,95782.72,11817.08,107599.8,116227.25
7.0,13500.0,12009.0,EXT.INCEND.-OTRAS RETRIB.BÁSICAS (I.T.),,,,4807.48
7.0,13500.0,12100.0,EXTIN. INCENDIOS.- COMPLEMENTO DE DESTINO,607502.42,,607502.42,616362.85
7.0,13500.0,12101.0,EXTIN. INCENDIOS.- COMPLEMENTO ESPECÍFICO,1516639.96,4952.08,1521592.04,1427493.07
7.0,13500.0,12103.0,EXT.INCENDIOS.-OTROS COMPLEMENTOS(ATR.FUN.I.T.),,,,34898.76
7.0,13500.0,150.0,EXT.INC.- PRODUCTIVIDAD,139416.65,,139416.65,204829.41
7.0,13500.0,151.0,EXT.INC.- GRATIFICACIONES,18959.34,,18959.34,15513.11
7.0,13500.0,16000.0,EXTIN. INCENDIOS.- SEGURIDAD SOCIAL,1067007.0,-28909.94,1038097.06,1048061.71
7.0,13500.0,20300.0,EXT.INC.- ARRENDAMIENTOS MAQUINARIA PESADA,2200.0,,2200.0,
7.0,13500.0,20400.0,EXT.INC.- RENTING VEHICULO FSV (2.2),57822.0,,57822.0,56612.04
7.0,13500.0,20401.0,EXT.INC.- RENTING VEHICULO MANDO MO (2.2),13124.0,,13124.0,13110.48
7.0,13500.0,20402.0,EXT.INC.- RENTING VEHICULO BRP  (2.2),52363.0,,52363.0,51933.72
7.0,13500.0,20403.0,EXT.INC.- RENTING VEHICULO BUL  (2.2),37828.0,,37828.0,37827.84
7.0,13500.0,21201.0,EXT.INC.- MANT.EDIF.CEDIDO AUT.PORTUARIA RETÉN BOM,8400.0,,8400.0,1605.2
7.0,13500.0,21301.0,EXT.INC.- MANTENIMIENTO MAQUINARIA Y HERRAM.,21900.0,,21900.0,19101.71
7.0,13500.0,21400.0,EXT.INC.- MANTENIMIENTO VEHÍCULOS (2.3),61600.0,,61600.0,42801.18
7.0,13500.0,220001.0,EXT.INC.- MATERIAL DE OFICINA (2.3),2500.0,,2500.0,
7.0,13500.0,22102.0,EXT.INC.- SUMINISTRO BUTANO (2.3),1200.0,,1200.0,1178.35
7.0,13500.0,22103.0,EXT.INC.- SUMINISTRO COMBUSTIBLE AUTOMOCIÓN,36147.04,,36147.04,28345.0
7.0,13500.0,221040.0,EXT.INC.- VESTUARIO (2.3),23500.0,,23500.0,23201.96
7.0,13500.0,221050.0,EXT.INC.- AVITUALLAMIENTO EN EMERGENCIAS (2.3),2000.0,,2000.0,
7.0,13500.0,221991.0,EXT.INC.- SUMINISTROS MATERIALES (2.3),18550.0,-10000.0,8550.0,13100.07
7.0,13500.0,221992.0,EXT.INC.- SUMINISTROS ACTUACIONES EMERGENCIA (2.7),7780.0,,7780.0,6967.66
7.0,13500.0,22400.0,EXT.INC.- SEGURO FLOTA DE VEHÍCULOS,24284.03,,24284.03,18225.35
7.0,13500.0,22699.0,EXT.INC. - GASTOS DIVERSOS,,,,72.6
7.0,13500.0,6230013.0,EXT.INC.- MATERIAL TECNICO,,737.53,737.53,737.53
7.0,13500.0,62500.0,EXT.INC.- EQUIPAMIENTO,1500.0,,1500.0,1489.51
7.0,13500.0,63300.0,EXT.INC.- REPOSICIÓN MATERIAL TÉCNICO,15500.0,10000.0,25500.0,24680.56
6.0,15000.0,12000.0,ASES.TECN.JURÍD.- SUELDOS DEL GRUPO A1,29354.64,,29354.64,25653.2
6.0,15000.0,12004.0,ASES.TECN.JURÍD.- SUELDOS DEL GRUPO C2,8378.58,,8378.58,10995.15
6.0,15000.0,12006.0,ASES.TECN.JURÍD.- TRIENIOS,11497.75,,11497.75,5257.16
6.0,15000.0,12100.0,ASES.TECN.JURÍD.- COMPLEMENTO DE DESTINO,25341.54,,25341.54,23858.22
6.0,15000.0,12101.0,ASES.TECN.JURÍD.- COMPLEMENTO ESPECÍFICO,70677.43,,70677.43,66042.9
6.0,15000.0,150.0,ASES. TEC. JURID.-  PRODUCTIVIDAD,936.75,,936.75,252.0
6.0,15000.0,151.0,ASES. TEC. JURID.-  GRATIFICACIONES,24.07,,24.07,
6.0,15000.0,16000.0,ASES.TECN.JURÍD.- SEGURIDAD SOCIAL,34337.43,-5233.39,29104.04,28680.04
6.0,15100.0,12000.0,DESAR.URBANÍSTICO.- SUELDOS DEL GRUPO A1,44031.96,,44031.96,40988.97
6.0,15100.0,12006.0,DESAR.URBANÍSTICO.-TRIENIOS,11956.93,,11956.93,10980.95
6.0,15100.0,12100.0,DESAR.URBANÍSTICO.-COMPLEMENTO DE DESTINO,24482.64,,24482.64,23373.7
6.0,15100.0,12101.0,DESAR.URBANÍSTICO.-COMPLEMENTO ESPECÍFICO,89211.22,,89211.22,81165.7
6.0,15100.0,150.0,DESAR.URB.- PRODUCTIVIDAD,468.37,,468.37,122.5
6.0,15100.0,151.0,DESAR.URB.-  GRATIFICACIONES,24.07,,24.07,1216.32
6.0,15100.0,16000.0,DESAR.URBANÍSTICO.-SEGURIDAD SOCIAL,43234.15,-4710.7,38523.45,38032.06
6.0,15101.0,12000.0,NEG.TECN.PLANE.- SUELDOS DEL GRUPO A1,14677.32,,14677.32,14729.94
6.0,15101.0,12003.0,NEG.TECN.PLANE.- SUELDOS DEL GRUPO C1,19769.68,,19769.68,20315.2
6.0,15101.0,12004.0,NEG.TECN.PLANE.- SUELDOS DEL GRUPO C2,8378.58,,8378.58,8845.02
6.0,15101.0,12006.0,NEG.TECN.PLANE.- TRIENIOS,6057.93,,6057.93,6520.04
6.0,15101.0,12100.0,NEG.TECN.PLANE.- COMPLEMENTO DE DESTINO,24347.82,,24347.82,24347.82
6.0,15101.0,12101.0,NEG.TECN.PLANE.- COMPLEMENTO ESPECÍFICO,54228.64,,54228.64,54228.72
6.0,15101.0,150.0,NEG. TECN. PLANEAMIENTO.- PRODUCTIVIDAD,18.46,,18.46,
