Número registro,Nombre tercero,Descripción,Fecha contable,Importe factura,Orgánica,Programa,Económica
2018.0001533,2 SOM 2 COOP V,03/01/18. ACTUACIÓN DENTRO DE LA CAMPAÑA NADAL DE CIRC.,20/04/18,"1.815,00 €",4,33400,226090
2018.0000331,"CIRCO LA RASPA, S.C.",03/01/18. ESPECTÁCULO DE CIRCO FREAK SHOW.,28/02/18,"1.815,00 €",4,33400,226090
2018.0000194,CASTELLANO ACTIVA SL,"03/01/18. INSPECCIÓN TÉCNICA DE LOS VEHICULOS MATRICULAS (1953-GKD, 9016-FHM Y CS-6214-AD) DE BRIGADAS.",31/01/18,"259,87 €",5,92040,21400
2018.0000193,CASTELLANO ACTIVA SL,"03/01/18. INSPECCIÓN TÉCNICA DE LOS VEHICULOS MATRICULAS (CS-4932-X, CS-7064-AM, CS-9444-AP, CS-2408-Y, 1618-DSL Y CS-4637-AV) DE BRIGADAS.",31/01/18,"542,55 €",5,92040,21400
2018.0001110,VETERINARIA MARTA MARTIN SLP,03/01/18. MEDICAMENTOS Y PIENSO PARA EL CAN DE LA POLICIA LOCAL.,29/03/18,"74,65 €",5,13230,221990
2018.0001107,PROMOCIONES Y EDICIONES CULTURALES SA,03/02/18. ANUNCIO S/PROPUESTA DE OFERTA DE PARTENARIADO LOCAL PARA SOCIOS EJECUTORES EN LA CATEGORÍA DE EMPRESAS PRIVADAS. PROYECTO ACCIÓN URBANA INNOVADORA CASTELLÓN EN DIARIO MEDITERRÁNEO.,25/04/18,"4.486,68 €",1,92070,22602
2018.0001184,EL DIARIO CV SL,03/02/18. BANNER PUBLICITARIO S/CAMPAÑA PLAN GENERAL 2018 EN ELDIARIOCV.COM.,25/04/18,"1.649,99 €",1,92070,22602
2018.0000889,"SAGALS,CB",03/02/18. TALLER DE CIENCIA CELEBRADO EN EL PLANETARIO.,16/03/18,"195,00 €",4,33300,22609
2018.0001558,FORMAT G 10  SL,"03/03/18. CARTELERIA, DIPLOMAS Y MATERIAL UTILIZADO EN LA JORNADA ESCOLAR SOBRE MUJERES CIENTIFICAS, ORGANIZADA POR EL CEIIP LLUIS REVEST.",20/04/18,"208,48 €",5,23102,226992
2018.0002436,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/03/18. SUMINISTRO BOCADILLOS Y AGUAS PARA ROMERIA MAGDALENA.,31/05/18,"1.326,00 €",5,13500,22105
2018.0002109,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. CHARLA DIDÁCTICA FAMILIAR S/MOVIMIENTO DE LA TIERRA CELEBRADO EN EL PLANETARIO.,09/06/18,"182,80 €",4,33300,22609
2018.0001723,"GRAFICAS CASTAÑ, S.L.",03/04/18. IMPRESIÓN AGENDA CULTURAL S/DEC 31/01/2018,08/05/18,"716,35 €",4,33400,226021
2018.0002026,LIMAC MATERIALES DE CONSTRUCCION SL,03/04/18. MATERIAL DE FONTANERIA PARA SU USO POR BRIGADAS.,09/06/18,"625,86 €",5,15350,221990
2018.0002027,LIMAC MATERIALES DE CONSTRUCCION SL,03/04/18. MATERIAL DE FONTANERIA PARA SU USO POR JORNALS DE VILA,09/06/18,"32,15 €",4,24130,221990
2018.0001690,MONFORT INGENIEROS S.L.U.,"03/04/18. MINUTA DE HONORARIOS DEL PROYECTO DE ACTIVIDAD Y PLAN DE EMERGENCIA Y EVACUACIÓN PARA EL CENTRO DE DIA ""LA PINEDA"".",09/06/18,"3.300,60 €",5,15300,227060
2018.0002214,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"03/04/18. MODELADO, DECORACIÓN, ILUMINACIÓN Y RENDERIZADO DE 3 CARRILES BICI DENTRO DEL PROYECTO EUROPEO DE MOVILIDAD.",08/06/18,"1.633,50 €",1,91202,226990
2018.0002101,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE INFRACCIÓN URBANISTICA Nº 116/16,11/05/18,"40,00 €",5,15121,22604
2018.0002104,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE INFRACCIÓN URBANISTICA Nº 40/16,11/05/18,"21,82 €",5,15121,22604
2018.0002100,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE INFRACCIÓN URBANISTICA Nº 57/16,11/05/18,"21,82 €",5,15121,22604
2018.0002099,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE INFRACCIÓN URBANISTICA Nº 6/10.,11/05/18,"36,36 €",5,15121,22604
2018.0002098,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE INFRACCIÓN URBANISTICA Nº 62/16.,15/05/18,"43,63 €",5,15121,22604
2018.0002083,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE ORDEN DE EJECUCIÓN Nº 67/18 DEL SOLAR SITO C/RIO EBRO Nº 21,11/05/18,"3,64 €",5,15121,22604
2018.0002097,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,03/04/18. NOTA SIMPLE Y ASIENTO DE PRESENTACIÓN ORDEN DE EJECUCIÓN Nº 105/16 DEL SOLAR SITO PLAZA PINTOR PORCAR Nº 13.,11/05/18,"25,46 €",5,15121,22604
2018.0001863,"COMPON. ELECTRONICOS CASTELLON, S.L",03/04/18. SUMINISTRO ALTAVOZ BLUETOOTH OG5 7B PARA POLICIA LOCAL.,09/06/18,"8,81 €",5,13230,221990
2018.0002662,"GRAFICAS CASTAÑ, S.L.",03/05/18. IMPRESIÓN AGENDA CULTURAL. DEC 31/01/2018,31/05/18,"716,35 €",4,33400,226021
2018.0000299,ASOCIACION CULTURAL THE BLUE FAR SOCIETY,"03/12/17. ACTUACIÓN ""BALLANT SALSA"" DENTRO DE LA CAMPAÑA SENTIM ELS PARCS.",16/02/18,"847,00 €",4,33400,226090
2018.0000212,"LA TROUPE MALABO, C.B.",04/01/18. ACTUACIÓN DENTRO DE LA CAMPAÑA NADAL DE CIRC.,31/01/18,"2.057,00 €",4,33400,226090
2018.0000199,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,04/01/18. DISEÑO GRÁFICO CARTELES ITINERARIOS CASTELLÓ EDUCA.,19/02/18,"181,50 €",4,32000,226994
2018.0001534,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"04/01/18. MANTENIMIENTO RELOJES TORRE CAMPANARIO, TENENCIA ALCALDIA DEL GRAO Y C.P. SEBASTIAN ELCANO.",25/04/18,"3.275,47 €",5,15350,221990
2018.0000062,BROTHERS PROJECTIONS SL,"04/01/18. PRODUCCIÓN DE LA CAMPAÑA ""NADAL DE CIRC"".",06/02/18,"605,00 €",4,33400,226090
2018.0000898,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"04/01/18. REALIZACIÓN ESPECTÁCULO ""WET FLOOR"".",16/03/18,"1.815,00 €",4,33400,226090
2018.0000972,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"04/02/18. REALIZACIÓN CHARLA DIDÁCTICA ""FASES DE LA LUNA"" CELEBRADA EN EL PLANETARIO.",16/03/18,"182,80 €",4,33300,22609
2018.0001766,EDITORIAL PRENSA VALENCIANA SA,04/03/18. INSERCIÓN PUBLICITARIA S/SEGUIMIENTO FIESTAS DE LA MAGDALENA EN DIARIO LEVANTE.,24/05/18,"739,31 €",1,92070,22602
2018.0002472,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,04/03/18. SERVICIOS TURISTICOS CASTILLO DE LA MAGDALENA Y PROGRAMA DIVULGACIÓN,31/05/18,"484,00 €",4,33400,226090
2018.0002168,VIAJES TRANSVIA TOURS SL,04/04/18. ALOJAMIENTO DEL CONCEJAL DE MODERNIZACIÓN Y TRANSPARENCIA CON MOTIVO DE LA ASISTENCIA AL CONGRESO NACIONAL DE INTEROPERABILIDAD Y SEGURIDAD CELEBRADO EN MADRID.,09/06/18,"113,91 €",3,92056,226999
2018.0002167,VIAJES TRANSVIA TOURS SL,04/04/18. BILLETE DE TREN DEL CONCEJAL DE MODERNIZACIÓN Y TRANSPARAENCIA CON MOTIVO DE LA ASISTENCIA AL CONGRESO NACIONAL DE INTEROPERABILIDAD Y SEGURIDAD CELEBRADO EN MADRID.,09/06/18,"129,75 €",3,92056,226999
2018.0002110,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,04/04/18. CONFERENCIA DENTRO DE LAS JORNADAS DE CIENCIAS DE LA TERRA CELEBRADO EN EL PLANETARIO.,31/05/18,"96,47 €",4,33300,22606
2018.0002114,ADHESIUS CASTELLO SL,04/04/18. IMPRESIÓN CARTELERIA DE LA EXPOSICION DE LAS OBRAS SELECCIONADAS DEL PREMIO CIUDAD DE CASTELLON DE ARTES PLASTICAS 2018.,09/06/18,"86,52 €",4,33400,227061
2018.0002086,ADHESIUS CASTELLO SL,04/04/18. IMPRESIÓN TOTEM PROGRAMACIÓN CULTURA.,08/05/18,"575,96 €",4,33400,226021
2018.0002133,HIERROS Y METALES CASTELLON SL,04/04/18. MATERIAL PARA SU USO POR BRIGADAS.,09/06/18,"29,86 €",5,15350,221990
2018.0002199,"SAGALS,CB",04/04/18. TALLER LUDICO-CIENTIFICOS CELEBRADO EN EL PLANETARIO,09/06/18,"195,00 €",4,33300,22609
2018.0002619,"PAMIMAR, S.L.","04/05/18. ALQUILER EQUIPO DE SONIDO CAMPAÑA ""ESCALA A CASTELLÓ""",09/06/18,"726,00 €",5,92031,21304
2018.0002687,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,04/05/18. NOTA SIMPLE PARCELA SITA C/OBISPO SALINAS.,09/06/18,"3,64 €",5,15112,22604
2018.0002932,"TALLER GRÀFIC SARGANTANA, S.L.","04/05/18. REALIZACION DE TRES DIORAMAS EN CERAMICAS EN RECONOCIMIENTO A TRES ESTABLECIMIENTOS VETERANOS DE LA CIUDAD "" GALA DE LOS COMERCIOS DE SIEMPRE 2018"" S/DEC 26/02/18",12/06/18,"1.495,56 €",4,43100,226994
2018.0002618,"PAMIMAR, S.L.","04/05/18. REPARACIÓN EXTENSIONES, REPASAR SISTEMA DE VIDEO DE SALON DE PLENOS, CONECTORES PARA VARIOS NEGOCIADOS.",09/06/18,"423,44 €",5,92031,21304
