Factura,Nombre o razón social (Tercero),Descripción,Fecha contabilización,Importe factura,Orgánica,Programa,Económica
2019.0001525,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,28/02/19. MATERIAL PARA SU USO POR BRIGADAS.,15/04/2019,"4.475,44 €",5,15350,221990
2019.0000648,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,31/01/19. MATERIAL PARA SU USO POR BRIGADAS.,20/03/2019,"2.414,93 €",5,15350,221990
2019.0003054,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL TORAS,1 CON DESTINO AS MUJERES OCHO MARZO Y AVV SAN PABLO",17/05/2019,"820,62 €",3,92400,20200
2018.0008895,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"812,50 €",3,92400,20200
2019.0000851,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL TORAS,1 CON DESTINO AS MUJERES OCHO MARZO Y AVV SAN PABLO",22/02/2019,"812,50 €",3,92400,20200
2019.0002529,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019.
ARRENDAMIENTO LOCAL SITO CL TORAS,1 CON DESTINO AS MUJERES OCHO MARZO Y AVV SAN PABLO",10/05/2019,"820,62 €",3,92400,20200
2019.000253,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019.
ARRENDAMIENTO LOCAL SITO CL TORAS,1 CON DESTINO AS MUJERES OCHO MARZO Y AVV SAN PABLO",10/05/2019,"820,62 €",3,92400,20200
2019.0002119,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,28/02/19. ALMUERZO DE ALCALDÍA CON LAS BRIGADAS.,15/04/2019,"510,00 €",1,91201,226990
2019.0003073,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL CAUDIEL, 7 CON DESTINO AVV SANTA TERESA",17/05/2019,"390,84 €",3,92400,20200
2018.000888,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"386,97 €",3,92400,20200
2019.0000872,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL CAUDIEL, 7 CON DESTINO AVV SANTA TERESA",22/02/2019,"386,97 €",3,92400,20200
2019.0002638,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO CL CAUDIEL, 7 CON DESTINO AVV SANTA TERESA",10/05/2019,"390,84 €",3,92400,20200
2019.0002688,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO CL CAUDIEL, 7 CON DESTINO AVV SANTA TERESA",10/05/2019,"390,84 €",3,92400,20200
2019.0002892,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"13/04/19. CONFERENCIA ""O SOLE MIO. UNA INVITACIÓN MUSICAL A LA FISICA SOLAR""  DENTRO DE LAS 27 JORNADES D'ASTRONOMIA CELEBRADAS EN EL PLANETARIO.",29/05/2019,"929,41 €",4,33300,22606
2019.000327,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"18/04/19. INTERVENCIÓN ARTÍSTICA Y REALIZACIÓN DE TALLER DIDÁCTICO EN LAS INSTALACIONES DEL CEIP TOMBATOSSALS DE LA ARTISTA ""WENDY"" DENTRO DEL PROYECTO 12 ARTISTES, 12 ESCOLES.",03/06/2019,"1.452,00 €",4,32300,227990
2019.0002196,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"DEL 28/03 AL 16/06/19. EXPOSICIÓN ""HISTORIA DEL JUGUETE MARÍTIMO ESPAÑOL"" CELEBRADO EN EL PLANETARIO. DEC 26/03/2019",13/05/2019,"9.014,50 €",4,33300,22706
2019.0003199,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO POLIGONO ESTADIO NAVE 10 CON DESTINO ALMACEN BRIGADAS MUNICIPALES",17/05/2019,"801,14 €",3,92020,20200
2018.0008869,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"801,14 €",3,92020,20200
2019.000089,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO POLIGONO ESTADIO NAVE 10 CON DESTINO ALMACEN BRIGADAS MUNICIPALES",22/02/2019,"801,14 €",3,92020,20200
2019.0001792,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO POLIGONO ESTADIO NAVE 10 CON DESTINO ALMACEN BRIGADAS MUNICIPALES",05/04/2019,"801,14 €",3,92020,20200
2019.0002757,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO POLIGONO ESTADIO NAVE 10 CON DESTINO ALMACEN BRIGADAS MUNICIPALES",10/05/2019,"801,14 €",3,92020,20200
2019.0001618,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"12/03/19. REALIZACIÓN Y SUMINISTRO DE PANELES DE RESINA TERMOENDURECIDA (HPL) CON IMPRESIÓN DIRECTA PARA EL ITINERARIO CULTURAL ""ERMITAS CASTELLÓ"".",08/04/2019,"4.819,85 €",4,33430,21200
2019.0001504,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"01/03/19. CELEBRACION DE DOS CONFERENCIAS IMPARTIDAS EN LA LLOTJA DEL CÀNEM DE ORGANIZACIÓN DEL III FORUM DE CONSUM: ""CONSUMIDOR ESTÀS BEN INFORMAT""? DEC 28/01/2019",27/03/2019,"3.400,00 €",4,49310,226060
2019.0002567,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"11 Y 12/04/19.  SERVICIOS NECESARIOS PARA EL DESARROLLO DEL III CONGRESO INTERMUNICIPAL DE COMERCIO DE CASTELLÓN,",13/05/2019,"15.900,00 €",4,43100,226062
2019.0001733,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"13/03/19. PUBLICIDAD DE LA JORNADA ""SALUT I DONA"" (DISEÑO DE LA CAMPAÑA, 3 CONFERENCIANTES, ORGANIZACIÓN Y SECRETARÍA, SEGURO DE RESPONSABILIDAD CIVIL, DIFUSIÓN EN MEDIOS, CARPETAS RUEDA PRENSA, DÍPTICOS Y MATERIAL CONFERENCIANTES. DEC 25/02/2019",26/04/2019,"2.722,50 €",4,31100,226995
2019.000343,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"21/03/19. REALIZACIÓN CAMPAÑA ""ESTOY SEGURO EN INTERNET"" PARA COLEGIOS.
",05/06/2019,"3.974,85 €",4,49320,226022
2018.0008852,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"19/11/18. ACOMPAÑAMIENTO DE PABLO GONZÁLEZ DENTRO DEL CICLO DE JOVENES INTERPRETES ""LOS LUNES CONCIERTO"".",28/02/2019,"363,00 €",4,33400,226090
2019.0002067,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"01/04/19. SERVICIO DE DISEÑO E IMPRESIÓN DE UN ROLL-UP PARA DAR A CONOCER EL PRODUCTO DE PROXIMIDAD ""PA DEL CASTELL VELL"" REALIZADO POR EL GREMI DE FORNERS DE CASTELLÓ.",26/04/2019,"181,50 €",4,43100,2269910
2019.0002292,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO GRPO ROSARIO CON DESTINO AVV EL SABONER",17/05/2019,"553,58 €",3,92400,20200
2018.0008883,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"553,58 €",3,92400,20200
2019.0000854,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO GRPO ROSARIO CON DESTINO AVV EL SABONER",22/02/2019,"553,58 €",3,92400,20200
2019.000162,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019.
ARRENDAMIENTO LOCAL SITO GRPO ROSARIO CON DESTINO AVV EL SABONER.",05/04/2019,"553,58 €",3,92400,20200
2019.0002581,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019.
ARRENDAMIENTO LOCAL SITO GRPO ROSARIO CON DESTINO AVV EL SABONER.",10/05/2019,"553,58 €",3,92400,20200
2019.000339,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"13/04/19. PARTICIPACIÓN EN LA MESA REDONDA  ""ASTROTURISME I DESENVOLUPAMENT LOCAL"" DENTRO DE LAS 27 JORNADES D'ASTRONOMIA.",29/05/2019,"235,29 €",4,33300,22606
2019.0003067,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL OBISPO SALINAS, 81 CON DESTINO AVV GUMBAU",17/05/2019,"992,24 €",3,92400,20200
2018.0008866,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"992,24 €",3,92400,20200
2019.0000868,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL OBISPO SALINAS, 81 CON DESTINO AVV GUMBAU",22/02/2019,"992,24 €",3,92400,20200
2019.0001758,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019.
ARRENDAMIENTO LOCAL SITO CL OBISPO SALINAS, 81 CON DESTINO AVV GUMBAU",05/04/2019,"992,24 €",3,92400,20200
2019.0002628,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO CL OBISPO SALINAS, 81 CON DESTINO AVV GUMBAU",10/05/2019,"992,24 €",3,92400,20200
2019.0003076,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL AMALIO GIMENO, 4 CON DESTINO AS. PROVIDA Y C. CIVICO CONSTITUCIÓN",17/05/2019,"866,81 €",5,23100,20200
2018.0008868,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"866,81 €",5,23100,20200
2019.0000877,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL AMALIO GIMENO, 4 CON DESTINO AS. PROVIDA Y C. CIVICO CONSTITUCIÓN",22/02/2019,"866,81 €",5,23100,20200
2019.000178,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO CL AMALIO GIMENO, 4 CON DESTINO AS. PROVIDA Y C. CIVICO CONSTITUCIÓN",05/04/2019,"866,81 €",5,23100,20200
2019.0002691,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO CL AMALIO GIMENO, 4 CON DESTINO AS. PROVIDA Y C. CIVICO CONSTITUCIÓN",10/05/2019,"866,81 €",5,23100,20200
2018.0008893,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"DICIEMBRE 2018.
ARRENDAMIENTO LOCAL SITO CL CANALEJAS, 95 CON DESTINO BANCO ALIMENTOS GRAO",22/02/2019,"590,32 €",5,23100,20200
2019.0001035,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,19/11/18 A 22/12/2018 GASTOS LUZ Y DE OCTUBRE A DICIEMBRE 2018 GASTOS AGUA ARRENDAMIENTO LOCAL SITO EN C/ MONCADA 12 CON DESTINO A FEDERACION VECINOS CASTELLON.,04/03/2019,"109,18 €",3,92400,20200
2018.0008901,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,21/10/18 A 19/11/18 GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN C/ MONCADA 12 CON DESTINO A FEDERACION VECINOS CASTELLON.,21/03/2019,"53,45 €",3,92400,20200
2019.0003068,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL MONCADA, 12 CON DESTINO FEDERACIÓN VECINOS DE CASTELLÓN",17/05/2019,"498,45 €",3,92400,20200
2019.0003456,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 17/02/19 AL 19/03/19 GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN C/ MONCADA 12 CON DESTINO A FEDERACION VECINOS CASTELLON.,23/05/2019,"61,43 €",3,92400,20200
2019.0002698,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 21/01/19 AL 17/02/19 GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN C/ MONCADA 12 CON DESTINO A FEDERACION VECINOS CASTELLON.,13/05/2019,"59,92 €",3,92400,20200
2019.0001987,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 22/12/2018 AL 21/01/19. GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN C/ MONCADA 12 CON DESTINO A FEDERACION VECINOS CASTELLON.,15/04/2019,"59,34 €",3,92400,20200
2018.0008896,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"493,51 €",3,92400,20200
2019.0000869,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL MONCADA, 12 CON DESTINO FEDERACIÓN VECINOS DE CASTELLÓN",22/02/2019,"493,51 €",3,92400,20200
2019.0001759,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO CL MONCADA, 12 CON DESTINO FEDERACIÓN VECINOS DE CASTELLÓN",05/04/2019,"493,51 €",3,92400,20200
2019.0002629,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO CL MONCADA, 12 CON DESTINO FEDERACIÓN VECINOS DE CASTELLÓN",10/05/2019,"498,45 €",3,92400,20200
2019.0000834,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"706,65 €",3,92400,20200
2019.0000867,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO GRAN VIA TARREGA MONTEBLANCO, 13 CON DESTINO AVV COLOMBIA NOS UNE",22/02/2019,"706,65 €",3,92400,20200
2019.0001757,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO GRAN VIA TARREGA MONTEBLANCO, 13 CON DESTINO AVV COLOMBIA NOS UNE",05/04/2019,"706,65 €",3,92400,20200
2019.0000938,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"NOVIEMBRE 2018.
ARRENDAMIENTO LOCAL SITO GRAN VIA TARREGA MONTEBLANCO, 13 CON DESTINO AVV COLOMBIA NOS UNE",21/03/2019,"706,65 €",3,92400,20200
2019.000306,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL MARTINEZ DE TENA,19 CON DESTINO AVV LA GUINEA",17/05/2019,"1.453,42 €",3,92400,20200
2018.0008858,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"1.429,12 €",3,92400,20200
2019.0002588,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL MARTINEZ DE TENA,19 CON DESTINO AVV LA GUINEA",10/05/2019,"1.453,42 €",3,92400,20200
2019.0002589,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO CL MARTINEZ DE TENA,19 CON DESTINO AVV LA GUINEA",10/05/2019,"1.453,42 €",3,92400,20200
2019.000259,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO CL MARTINEZ DE TENA,19 CON DESTINO AVV LA GUINEA",10/05/2019,"1.453,42 €",3,92400,20200
2019.0003071,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CL PASEO MORELLA, 44 ENTLO CON DESTINO AVV SAN JOSE OBRERO",17/05/2019,"492,65 €",3,92400,20200
2019.000307,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO PASEO MORELL, 44 BAJO CON DESTINO CENTRO 3º EDAD CREMOR",17/05/2019,"1.007,48 €",5,23100,20200
2018.0008772,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"DICIEMBRE 2018.  ARRENDAMIENTO LOCAL SITO EN PASEO MORELLA 44 PLANTA BAJA CON DESTINO A AS.JUB Y PENS ""CREMOR"".",22/02/2019,"1.007,48 €",5,23100,20200
2018.0008769,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"DICIEMBRE 2018. ARRENDAMIENTO LOCAL SITO EN PASEO MORELLA 44 ENTRESUELO CON DESTINO A A.VV ""SAN JOSE OBRERO"".",22/02/2019,"486,80 €",3,92400,20200
2019.0002634,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO CL PASEO MORELLA, 44 ENTLO CON DESTINO AVV SAN JOSE OBRERO",10/05/2019,"492,65 €",3,92400,20200
2019.0002631,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ENERO 2019
ARRENDAMIENTO LOCAL SITO PASEO MORELL, 44 BAJO CON DESTINO CENTRO 3º EDAD CREMOR",10/05/2019,"1.007,48 €",5,23100,20200
2019.0002635,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO CL PASEO MORELLA, 44 ENTLO CON DESTINO AVV SAN JOSE OBRERO",10/05/2019,"492,65 €",3,92400,20200
2019.0002632,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"FEBRERO 2019
ARRENDAMIENTO LOCAL SITO PASEO MORELL, 44 BAJO CON DESTINO CENTRO 3º EDAD CREMOR",10/05/2019,"1.007,48 €",5,23100,20200
2019.0002636,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO CL PASEO MORELLA, 44 ENTLO CON DESTINO AVV SAN JOSE OBRERO",10/05/2019,"492,65 €",3,92400,20200
2019.0002633,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"MARZO 2019
ARRENDAMIENTO LOCAL SITO PASEO MORELL, 44 BAJO CON DESTINO CENTRO 3º EDAD CREMOR",10/05/2019,"1.007,48 €",5,23100,20200
2019.0001017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,17/11/18 A 29/11/18 GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN CTRA ALCORA KM 9 51-A CON DESTINO A AA.VV VENTA NOVA.,21/03/2019,"23,57 €",3,92400,20200
2019.0003072,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ABRIL 2019
ARRENDAMIENTO LOCAL SITO CTRA ALCORA KM, 9 51-A CON DESTINO AVV VENTA NOVA",17/05/2019,"529,31 €",3,92400,20200
2019.0002697,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 17/01/19 AL 20/02/19 GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN CTRA ALCORA KM 9 51-A CON DESTINO A AA.VV VENTA NOVA.,13/05/2019,"78,81 €",3,92400,20200
2019.0001984,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 17/12/18 AL 17/01/19. GASTOS LUZ ARRENDAMIENTO LOCAL SITO EN CTRA ALCORA KM 9 51-A CON DESTINO A AA.VV VENTA NOVA.,15/04/2019,"57,91 €",3,92400,20200
2019.0003453,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 20/02/19 AL 17/03/19 GASTOS LUZ Y ENE-FEB-MAR GASTOS AGUA ARRENDAMIENTO LOCAL SITO EN CTRA ALCORA KM 9 51-A CON DESTINO A AA.VV VENTA NOVA.,23/05/2019,"94,55 €",3,92400,20200
2019.0001033,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"DEL 29/11/18 AL 17/12/18 GASTOS LUZ Y DE OCTUBRE A DICIEMBRE 18 GASTOS AGUA, ARRENDAMIENTO LOCAL SITO EN CTRA ALCORA KM 9 51-A CON DESTINO A AA.VV VENTA NOVA.",04/03/2019,"81,31 €",3,92400,20200
2018.0008879,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,'DICIEMBRE 2018    ARRENDAMIENTO LOCALES Y VIVENDAS AL AYUNTAMIENTO,22/02/2019,"529,31 €",3,92400,20200
