#ORG.,PROG.,ECON.,DESCRIPCIÓN,PRESUPUESTO INICIAL,MODIFIC.,PREVISIONES DEFINITIVAS
5.0,13250.0,20400.0,AGRUP.TRÁFICO.- RENTING FURGÓN ATESTADOS (4.1),6100.0,,6100.0
5.0,13250.0,20401.0,AGRUP.TRÁFICO.- FURGÓN ATESTADOS II (4.1),27803.0,,27803.0
5.0,13250.0,20403.0,AGRUP.TRÁFICO.- RENTING 5 MOTOCICLETAS (3.1),38263.0,,38263.0
5.0,13250.0,20404.0,AGRUP.TRÁFICO.- RENTING 8 MOTOCICLETAS (3.1),68112.0,,68112.0
5.0,13250.0,21300.0,AGRUP.TRÁFICO.- MANTENIM. ETILÓMETROS Y OTROS(4.1),7500.0,,7500.0
5.0,13250.0,21301.0,AGRUP.TRÁFICO.- MANTENIMIENTO EMISORAS AMUS,3500.0,,3500.0
5.0,13250.0,21400.0,AGRUP.TRÁFICO.- MANTENIMIENTO VEHÍCULOS AMUS,6000.0,,6000.0
5.0,13250.0,21610.0,AGRUP.TRÁFICO.- MANTENIMIENTO MODULOS TRAFICO (1.1),40000.0,,40000.0
5.0,13250.0,22000.0,AGRUP.TRÁFICO.- MANTERIAL OFICINA AMUS,3000.0,,3000.0
5.0,13250.0,22001.0,AGRUP.TRÁFICO.- LIBROS AMUS,600.0,,600.0
5.0,13250.0,22104.0,AGRUP.TRÁFICO.- VESTUARIO AMUS,10000.0,,10000.0
5.0,13250.0,22199.0,AGRUP.TRÁFICO.- SUMINISTROS AMUS,1200.0,,1200.0
5.0,13250.0,22601.0,AGRUP.TRÁFICO.- MANTERIAL DE PROTOCOLO AMUS,600.0,,600.0
5.0,13250.0,227990.0,AGRUP.TRÁFICO.- TRABAJOS PARA ATESTADOS (4.1),12000.0,,12000.0
5.0,13300.0,12001.0,TRAFICO.- SUELDOS GRUPO A2,13035.59,,13035.59
5.0,13300.0,12004.0,TRÁFICO.- SUELDOS DEL GRUPO C2,8462.37,,8462.37
5.0,13300.0,12006.0,TRÁFICO.- TRIENIOS,10000.0,,10000.0
5.0,13300.0,12009.0,TRÁFICO.- I.T.BASICAS,100.0,,100.0
5.0,13300.0,12100.0,TRÁFICO.- COMPLEMENTO DE DESTINO,12791.47,,12791.47
5.0,13300.0,12101.0,TRÁFICO.- COMPLEMENTO ESPECÍFICO,26667.98,,26667.98
5.0,13300.0,12103.0,TRÁFICO.- I.T.COMPLEMENTARIAS,100.0,,100.0
5.0,13300.0,12104.0,TRAFICO.- 49.73% EXTRA 2012,4173.75,,4173.75
5.0,13300.0,15000.0,TRÁFICO.- GASTOS DE PERSONAL PRODUCTIVIDAD,100.0,,100.0
5.0,13300.0,15100.0,TRÁFICO.- GRATIFICACIONES,100.0,,100.0
5.0,13300.0,16000.0,TRÁFICO.- SEGURIDAD SOCIAL,40172.53,,40172.53
5.0,13300.0,227990.0,TRÁFICO.- RETIRADA DE VEHÍCULOS (1.4),73843.27,,73843.27
5.0,13300.0,227991.0,TRÁFICO.- INSTALACIONES SEMAFÓRICAS (1.1),1183455.4,,1183455.4
5.0,13300.0,227993.0,TRÁFICO.- SUMINISTRO DE VALLAS Y SEÑALIZACIÓN PORTATIL (1.3),62424.0,,62424.0
5.0,13300.0,227994.0,TRÁFICO.- SEÑALIZACIÓN HORIZONTAL (1.1),182829.83,,182829.83
5.0,13300.0,227995.0,TRÁFICO.- SEÑALIZACIÓN VERTICAL Y BALIZAMIENTO (1.1),477114.1,,477114.1
5.0,13300.0,60900.0,SEÑALIZACIÓN INFORMATIVA,30000.0,,30000.0
5.0,13400.0,12000.0,SECC.MOVILIDAD URBANA.- SUELDOS DEL GRUPO A1,14824.09,,14824.09
5.0,13400.0,12001.0,SECC.MOVILIDAD URBANA.- SUELDOS GRUPO A2,13035.59,,13035.59
5.0,13400.0,12004.0,SECC.MOVILIDAD URBANA.- SUELDOS DEL GRUPO C2,8462.37,,8462.37
5.0,13400.0,12006.0,SECC.MOVILIDAD URBANA.- TRIENIOS,9327.2,,9327.2
5.0,13400.0,12009.0,SECC.MOVILIDAD URBANA.- I.T.BASICAS,100.0,,100.0
5.0,13400.0,12100.0,SECC.MOVILIDAD URBANA.- COMPLEMENTO DE DESTINO,20042.18,,20042.18
5.0,13400.0,12101.0,SECC.MOVILIDAD URBANA.- COMPLEMENTO ESPECÍFICO,56425.3,,56425.3
5.0,13400.0,12103.0,SECC.MOVILIDAD URBANA.- I.T.COMPLEMENTARIAS,100.0,,100.0
5.0,13400.0,12104.0,SECC.MOVILIDAD URBANA.- 49.73% EXTRA 2012,3553.57,,3553.57
5.0,13400.0,15000.0,SECC.MOVILIDAD URBANA.- PRODUCTIVIDAD,713.96,,713.96
5.0,13400.0,15100.0,SECC.MOVILIDAD URBANA.- GRATIFICACIONES,5704.41,,5704.41
5.0,13400.0,16000.0,SECC.MOVILIDAD URBANA.- SEGURIDAD SOCIAL,30540.43,,30540.43
5.0,13400.0,61900.0,PLAN SEGURIDAD VIAL,40000.0,,40000.0
5.0,13400.0,61901.0,ACTUACIONES PLAN MOVILIDAD URBANA SOSTENIBLE,30000.0,,30000.0
5.0,13500.0,21300.0,PROT.CIVIL.- MANTENIMIENTO RED DE RADIO (3.7),1000.0,,1000.0
5.0,13500.0,22104.0,PROT.CIVIL.- VESTUARIO VOLUNTARIOS (3.5),10000.0,,10000.0
5.0,13500.0,22105.0,PROT.CIVIL.- ALIMEN SERVICIO LARGA DURACIÓN (3.4,3000.0,,3000.0
5.0,13500.0,22199.0,PROT.CIVIL.- SUMINISTROS (3.6),1000.0,,1000.0
5.0,13500.0,22400.0,PROT.CIVIL.- SEGURO ACCIDENTES VOLUNTARIOS,2500.0,,2500.0
5.0,13500.0,22602.0,PROT.CIVIL.- INFORMACION PLANES EMERGENCIA,3000.0,,3000.0
5.0,13500.0,226990.0,PROT.CIVIL.- ALBERGUE Y AVITUALLAM EMERGENCIAS,3000.0,,3000.0
5.0,13500.0,22799.0,PROT.CIVIL.- SERV.PREV.COBERT SANITARIA ACT.PUBL (4.1),30000.0,,30000.0
5.0,13500.0,62400.0,VEHÍCULO PROTECCIÓN CIVIL,30000.0,,30000.0
5.0,13600.0,12001.0,EXTIN. INCENDIOS.- SUELDOS DEL GRUPO A2,52142.36,,52142.36
5.0,13600.0,12002.0,EXTIN. INCENDIOS.- SUELDOS DEL GRUPO B,216920.72,,216920.72
5.0,13600.0,12003.0,EXTIN. INCENDIOS.- SUELDOS DEL GRUPO C1,878564.72,,878564.72
5.0,13600.0,12006.0,EXTIN. INCENDIOS.- TRIENIOS,112950.28,,112950.28
5.0,13600.0,12009.0,EXTIN. INCENDIOS.- I.T.BASICAS,100.0,,100.0
5.0,13600.0,12100.0,EXTIN. INCENDIOS.- COMPLEMENTO DE DESTINO,715360.13,,715360.13
5.0,13600.0,12101.0,EXTIN. INCENDIOS.- COMPLEMENTO ESPECÍFICO,1631839.43,,1631839.43
5.0,13600.0,12103.0,EXTIN. INCENDIOS.- I.T.COMPLEMENT.,100.0,,100.0
5.0,13600.0,12104.0,EXTIN.INCENDIOS.- 49.73% EXTRA 2012,110815.9,,110815.9
5.0,13600.0,15000.0,EXTIN. INCENDIOS.- PRODUCTIVIDADES,188954.81,,188954.81
5.0,13600.0,15100.0,EXTIN. INCENDIOS.- GRATIFICACIONES,39595.78,,39595.78
5.0,13600.0,16000.0,EXTIN. INCENDIOS.- SEGURIDAD SOCIAL,1001031.86,,1001031.86
5.0,13600.0,16205.0,EXTIN. INCENDIOS.- SEGUROS,3325.0,,3325.0
5.0,13600.0,20300.0,EXTIN. INCENDIOS.- ARRENDAMIENTO MAQUINARIA PESADA,2000.0,,2000.0
5.0,13600.0,20400.0,EXTIN. INCENDIOS.- RENTING VEHICULO FSV (2.2),56612.04,,56612.04
5.0,13600.0,20401.0,EXTIN. INCENDIOS.- RENTING VEHICULO MANDO MO (2.2),7500.0,,7500.0
5.0,13600.0,20402.0,EXTIN. INCENDIOS.- RENTING VEHICULO BRP  (2.2),51933.72,,51933.72
5.0,13600.0,20403.0,EXTIN. INCENDIOS.- RENTING VEHICULO BUL  (2.2),37827.84,,37827.84
5.0,13600.0,20404.0,EXTIN. INCENDIOS.- NUEVO RENTING VEHICULO,18000.0,,18000.0
5.0,13600.0,20500.0,EXTIN. INCENDIOS.- ARRENDAMIENTO MOBILIARIO (2.3),500.0,,500.0
5.0,13600.0,21200.0,EXTIN. INCENDIOS.- ADECUACIÓN EDIFICIOS,12000.0,,12000.0
5.0,13600.0,21201.0,EXTIN. INCENDIOS.- MANTENIMIENTO RETÉN GRAO,9400.0,,9400.0
5.0,13600.0,21301.0,EXTIN. INCENDIOS.- MANTENIM. MAQUINARIA Y HERRAM.,18900.0,,18900.0
5.0,13600.0,21400.0,EXTIN. INCENDIOS.- MANTENIMIENTO VEHÍCULOS (2.3),55300.0,,55300.0
5.0,13600.0,22102.0,EXTIN. INCENDIOS.- SUMINIST. BUTANO (2.3),1200.0,,1200.0
5.0,13600.0,22103.0,EXTIN. INCENDIOS.- SUMINIST. COMBUSTIBLE AUTOMOCIÓN,35587.5,,35587.5
5.0,13600.0,221040.0,EXTIN. INCENDIOS.- VESTUARIO (2.6),140000.0,,140000.0
5.0,13600.0,221041.0,EXTIN. INCENDIOS.- VESTUARIO OTROS (2.3),73700.0,,73700.0
5.0,13600.0,221050.0,EXTIN. INCENDIOS.- AVITUALLAM EN EMERGENCIAS (2.3),2000.0,,2000.0
5.0,13600.0,221991.0,EXTIN. INCENDIOS.- SUMINIST. MATERIALES (2.3),1150.0,,1150.0
5.0,13600.0,221992.0,EXTIN. INCENDIOS.- SUMINIST. ACTUAC EMERGENCIA (2.7),9700.0,,9700.0
5.0,13600.0,22400.0,EXTIN. INCENDIOS.- SEGURO DE VEHÍCULOS,18415.88,,18415.88
5.0,13600.0,226990.0,EXTIN. INCENDIOS.- GASTOS DIVERSOS,100.0,,100.0
5.0,13600.0,62400.0,VEHÍCULO EXTINC. INCENDIOS,20000.0,,20000.0
5.0,13600.0,62401.0,FURGONETA EXTINC. INCENDIOS,35000.0,,35000.0
5.0,13600.0,62402.0,CABINA CONTRA INCENDIOS EXTINC. INCENDIOS,220000.0,,220000.0
5.0,13600.0,63300.0,REPOSICIÓN MATERIAL TÉCNICO EXTINC. INCENDIOS,7500.0,,7500.0
5.0,13601.0,12000.0,ASIST.SANIT.BOMBEROS.- SUELDOS GRUPO A1,14824.09,,14824.09
5.0,13601.0,12001.0,ASIST.SANIT.BOMBEROS.- SUELDOS GRUPO A2,26071.18,,26071.18
5.0,13601.0,12004.0,ASIST.SANIT.BOMBEROS.- SUELDOS GRUPO C2,25387.11,,25387.11
5.0,13601.0,12006.0,ASIST.SANIT.BOMBEROS.- TRIENIOS,21982.5,,21982.5
5.0,13601.0,12009.0,ASIST.SANIT.BOMBEROS.- I.T.BASICAS,100.0,,100.0
5.0,13601.0,12100.0,ASIST.SANIT.BOMBEROS.- COM.DESTINO,36907.95,,36907.95
5.0,13601.0,12101.0,ASIST.SANIT.BOMBEROS.- COMP.ESPECIFICO,90794.35,,90794.35
5.0,13601.0,12103.0,ASIST.SANIT.BOMBEROS.- I.T.COMPLEM.,100.0,,100.0
5.0,13601.0,12104.0,ASIST.SANIT.BOMBEROS.- 49.73% EXTRA 2012,9410.31,,9410.31
5.0,13601.0,15000.0,ASIST.SANIT.BOMBEROS.- PRODUCTIVIDAD,100.0,,100.0
5.0,13601.0,15100.0,ASIST.SANIT.BOMBEROS.-GRATIFICACIONES,100.0,,100.0
5.0,13601.0,16000.0,ASIST.SANIT.BOMBEROS.- SEG.SOCIAL,89748.78,,89748.78
5.0,15000.0,12000.0,COOR. AREA SERVICIOS.- SUELDOS DEL GRUPO A1,14824.09,,14824.09
5.0,15000.0,12006.0,COOR. AREA SERVICIOS.- TRIENIOS,3000.0,,3000.0
5.0,15000.0,12009.0,COOR. AREA SERVICIOS.- I.T.BASICAS,100.0,,100.0
5.0,15000.0,12100.0,COOR. AREA SERVICIOS.- COMPLEMENTO DE DESTINO,11770.14,,11770.14
5.0,15000.0,12101.0,COOR. AREA SERVICIOS.- COMPLEMENTO ESPECÍFICO,37380.36,,37380.36
5.0,15000.0,12103.0,COOR. AREA SERVICIOS.- I.T.COMPLEM.,100.0,,100.0
5.0,15000.0,12104.0,COOR. AREA SERVICIOS.- 49.73% EXTRA 2012,3941.66,,3941.66
5.0,15000.0,15000.0,COOR. AREA SERVICIOS.- PRODUCTIVIDADES,823.21,,823.21
5.0,15000.0,15100.0,COOR. AREA SERVICIOS.- GRATIFICACIONES,100.0,,100.0
5.0,15000.0,16000.0,COOR. AREA SERVICIOS.- SEGURIDAD SOCIAL,10000.0,,10000.0
5.0,15100.0,12000.0,DIREC.URBAN.- SUELDOS DEL GRUPO A1,14824.09,,14824.09
5.0,15100.0,12004.0,DIREC.URBAN.- SUELDOS GRUPO C2,8462.37,,8462.37
5.0,15100.0,12006.0,DIREC.URBAN.- TRIENIOS,4172.62,,4172.62
5.0,15100.0,12009.0,DIREC.URBAN.- I.T.BASICAS,100.0,,100.0
5.0,15100.0,12100.0,DIREC.URBAN.- COMPLEMENTO DE DESTINO,17352.47,,17352.47
5.0,15100.0,12101.0,DIREC.URBAN.- COMPLEMENTO ESPECÍFICO,45621.56,,45621.56
5.0,15100.0,12103.0,DIREC.URBAN.- I.T.COMPLEMT.,100.0,,100.0
5.0,15100.0,12104.0,DIREC.URBAN.- 49.73% EXTRA 2012,3941.66,,3941.66
5.0,15100.0,15000.0,DIREC.URBAN.- PRODUCTIVIDADES,100.0,,100.0
5.0,15100.0,15100.0,DIREC.URBAN.- GRATIFICACIONES,100.0,,100.0
5.0,15100.0,16000.0,DIREC.URBAN.- SEGURIDAD SOCIAL,22584.03,,22584.03
5.0,15110.0,12000.0,DESARR. URBANIST.- SUELDOS DEL GRUPO A1,29648.19,,29648.19
5.0,15110.0,12006.0,DESARR. URBANIST.- TRIENIOS,7029.16,,7029.16
5.0,15110.0,12009.0,DESARR. URBANIST.- I.T.BASICAS,100.0,,100.0
5.0,15110.0,12100.0,DESARR. URBANIST.- COMPLEMENTO DE DESTINO,16484.98,,16484.98
5.0,15110.0,12101.0,DESARR. URBANIST.- COMPLEMENTO ESPECÍFICO,62204.46,,62204.46
5.0,15110.0,12103.0,DESARR. URBANIST.- I.T.COMPLEMENT.,100.0,,100.0
5.0,15110.0,12104.0,DESARR. URBANIST.- 49.73% EXTRA 2012,5030.11,,5030.11
5.0,15110.0,15000.0,DESARR. URBANIST.- PRODUCTIVIDADES,512.24,,512.24
