#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2013.0000092,"ACUSTICA Y TELECOMUNICACIONES, S.L.","10/12/12. SERVICIO ""ESTUDIO DE EVALUACION AMBIENTAL EN ZONA TASCAS DE CASTELLON""",25/04/2013,"3.630,00 €",6,15125,227060
2013.0001295,J CANET SLU,"DICIEMBRE/12, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES EN TERMINO MUNICIPAL. DEC.15-11-12",22/04/2013,"735,25 €",6,17000,227991
2013.0001299,J CANET SLU,"ENERO/13, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES EN TERMINO MUNICIPAL. DEC.15-11-12",22/04/2013,"832,94 €",6,17000,227991
2013.0001357,CDAD DE REGANTES COTO ARROCERO,"1º SEMESTRE/13, CANON USO MOLI DE LA FONT.",26/04/2013,"29.965,00 €",6,17000,20900
2013.0001489,J CANET SLU,"FEBRERO/13, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES EN TERMINO MUNICIPAL. DEC.15-11-12",25/04/2013,"858,58 €",6,17000,227991
2013.0001497,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/11 AL 15/12/12, SERVICIO DE CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",25/04/2013,"1.779,11 €",6,17000,227990
2013.0001498,ASOC GRUP AU D'ORNITOLOGIA,"DEL 12/12/12 AL 15/01/13, SERVICIO DE CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",25/04/2013,"1.779,11 €",6,17000,227990
2013.0001499,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/01 AL 15/02/13, SERVICIO DE CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",25/04/2013,"1.779,11 €",6,17000,227990
2013.0001500,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/02 AL 15/03/13, SERVICIO DE CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",25/04/2013,"1.779,11 €",6,17000,227990
2013.0001504,SINDICATO DE RIEGOS DE CASTELLON,"AÑO 2013. CUOTA CEQUIAJE SINDICATO DE RIEGOS DE CASTELLON DE LAS ERMITAS SAN ROQUE, SAN ISIDRO Y SAN FRANCESC.1ª OPERACIÓN CONTABLE S/BASE 5 DE LAS BASES DE EJEC.PRESUPUESTO",30/04/2013,"358,40 €",6,17000,226051
2013.0001627,TRANSPORTES ALEGRE MONFERRER SL,"MARZO/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",06/05/2013,"5.743,14 €",6,17000,22700
2013.0001673,LA HISPANO DEL CID SA,"23/03/13. SERVICIO DISCRECIONAL DE AUTOBUS CON MOTIVO DE LA CAMPAÑA NACE UN NIÑO, NACE UN ARBOL",09/05/2013,"100,00 €",6,17000,227993
2013.0001674,IMPRENTA ROSELL SL,IMPRESIÓN FALDÓN  PARA LA IX JORNADA DEL AGUA.,09/05/2013,"96,80 €",6,17000,22000
2013.0001847,J CANET SLU,"MARZO/13, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES. DEC.15-11-12",08/05/2013,"444,69 €",6,17000,227991
2013.0001998,SEÑALIZACIONES Y OBRAS FERNANDEZ SL,"IMPRESIÓN SOBRE FOREX DE PANEL PROMOCIONAL Y SU COLOCACIÓN DENTRO DE LA CAMPAÑA DE VOLUNTARIADO PARA LA PLANTACION DE ARBOLES-NACE UN NIÑO, NACE UN ARBOL.",17/05/2013,"224,60 €",6,17000,226050
2013.0002273,LA HISPANO DEL CID SA,05/04/13. SERVICIO DISCRECIONAL DE AUTOBUS CON MOTIVO DE LA PLANTACIÓN DE ARBOLES AL DESIERTO DE LAS PALMAS.,04/06/2013,"100,00 €",6,17000,227993
2013.0002276,LA HISPANO DEL CID SA,12/04/13. SERVICIO DISCRECIONAL DE AUTOBUS CON MOTIVO DE LA VISITA AL MOLÍ DE LA FONT DE ESCOLARES.,04/06/2013,"90,00 €",6,17000,227993
2013.0002312,COOP AGRICOLA SAN ISIDRO CS,"SUMINISTRO MATERIAL PLANTACION DENTRO DE LA CAMPAÑA DE VOLUNTARIADO PARA LA PLANTACION DE ARBOLES. NACE UN NIÑO, NACE UN ARBOL",04/06/2013,"326,70 €",6,17000,226050
2013.0002313,SDAD.CIVIL POZO PEÑA ROCHA,1º TRIMESTRE/13. CONSUMO AGUA PARA RIEGO DE ZONAS AJARDINADAS EN PENYETA ROJA.,04/06/2013,"418,25 €",6,17000,22101
2013.0002336,TRANSPORTES ALEGRE MONFERRER SL,"ABRIL/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",31/05/2013,"5.819,25 €",6,17000,22700
2013.0002363,SUCRE I FARINA DE CASTELLO SL,"CATERING CON MOTIVO DE LA CAMPAÑA DE VOLUNTARIADO PARA LA PLANTACION DE ARBOLES. NACE UN NIÑO, NACE UN ARBOL, COMPENSACION SEGUN DECRETO FECHA 15-07-2013.",13/06/2013,"330,00 €",6,17000,226050
2013.0002430,LA HISPANO DEL CID SA,16/04/13. SERVICIOS DISCRECIONAL DE AUTOBUS DEL CEIP EJERCITO CON MOTIVO DE LA VISITA A TETUAN XIV.,13/06/2013,"60,00 €",6,17000,227993
2013.0002431,LA HISPANO DEL CID SA,19/04/13. SERVICIO DISCRECIONAL DE AUTOBÚS DEL CEIP LA MARINA CON MOTIVO DE LA VISITA DEL MOLI DE LA FONT.,13/06/2013,"90,00 €",6,17000,227993
2013.0002432,LA HISPANO DEL CID SA,24/04/13. SERVICIO DISCRECIONAL DE AUTOBUS C.E.E. CASTELL VELL AL MOLÍ DE LA FONT.,13/06/2013,"90,00 €",6,17000,227993
2013.0002433,J CANET SLU,"ABRIL/13, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES. DEC.15-11-12",07/06/2013,"743,39 €",6,17000,227991
2013.0002436,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/03 AL 15/04/13, SERVICIO DE CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",07/06/2013,"1.779,11 €",6,17000,227990
2013.0002437,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/04 AL 15/05/13, SERVICIO DE CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",07/06/2013,"1.779,11 €",6,17000,227990
2013.0002559,TRANSPORTES ALEGRE MONFERRER SL,"MAYO/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",12/06/2013,"5.973,53 €",6,17000,22700
2013.0002580,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"TRABAJOS DE CREATIVIDAD, DISEÑO, PRODUCCIÓN, REDACCIÓN, COMUNICACIÓN Y GESTIÓN DE LA CAMPAÑA URBANA DE CASTELLÓN.",21/06/2013,"2.998,99 €",6,17000,226050
2013.0002709,FEDERACION ESPAÑOLA MUNICIPIOS Y PROVINCIAS,2013. CUOTA RED ESPAÑOLA CIUDADES POR EL CLIMA.,27/06/2013,"300,00 €",6,17000,48900
2013.0002740,CLUB DE TIRO Y ARRASTRE DE CASTELLON,ORGANIZACIÓN DEL FESTIVAL DE TIRO Y ARRASTRE 2013,27/06/2013,"2.500,00 €",6,17000,226050
2013.0002841,CHABRERA AGROQUIMICS SL,18/04/13. SUMINISTRO HERBICIDAS PARA SU USO POR LA CAMARA AGRARIA,11/07/2013,"960,08 €",6,17000,221992
2013.0002842,CHABRERA AGROQUIMICS SL,08/05/13. SUMINISTRO HERBICIDAS PARA SU USO POR LA CAMARA AGRARIA,11/07/2013,"607,20 €",6,17000,221992
2013.0002879,ASOC GRUP AU D'ORNITOLOGIA,SUMINISTROS CAJAS PINCHOS CONTRA PALOMAS PARA SU USO POR LA CAMARA AGRARIA.,11/07/2013,"484,00 €",6,17000,221992
2013.0002983,J CANET SLU,"MAYO/13,  RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES. DEC.15-11-12",11/07/2013,"870,28 €",6,17000,227991
2013.0003271,TALLERES AGROXIMO SL,04/06/13. MATERIAL PARA REPARACION Y CONSERVACION MAQUINARIA CAMARA AGRARIA,30/07/2013,"524,18 €",6,17000,21300
2013.0003272,EFECTO MARKETING SL,"ORGANIZACIÓN FIESTA, ACTIVIDADES Y TALLERES DENTRO DE LA CAMPAÑA CIUDAD MAS SOSTENIBLE.SEMANA DEL MEDIO AMBIENTE",30/07/2013,"2.999,59 €",6,17000,226050
2013.0003275,LA HISPANO DEL CID SA,03/05/13. SERVICIO DISCRECIONAL DE AUTOBUS PARA ESCOLARES QUE VISITAN EL MOLI DE LA FONT DEL CEIP SERRANO SUÑER.,30/07/2013,"90,00 €",6,17000,227993
2013.0003276,LA HISPANO DEL CID SA,10/05/13. SERVICIO DISCRECIONAL DE AUTOBUS PARA ESCOLARES QUE VISITAN EL MOLI DE LA FONT DEL CEIP EL PINAR.,30/07/2013,"90,00 €",6,17000,227993
2013.0003277,LA HISPANO DEL CID SA,17/05/13. SERVICIO DISCRECIONAL DE AUTOBUS PARA ESCOLARES QUE VISITAN EL MOLI DE LA FONT DEL CEIP LUIS REVEST.,30/07/2013,"90,00 €",6,17000,227993
2013.0003278,LA HISPANO DEL CID SA,22/05/13. SERVICIO DISCRECIONAL DE AUTOBUS PARA ESCOLARES QUE VISITAN EL MOLI DE LA FONT DEL CEIP LLEDÓ.,30/07/2013,"90,00 €",6,17000,227993
2013.0003279,LA HISPANO DEL CID SA,24/05/13. SERVICIO DISCRECIONAL DE AUTOBUS PARA ESCOLARES QUE VISITAN EL MOLI DE LA FONT DEL CEIP JAIME I.,30/07/2013,"90,00 €",6,17000,227993
2013.0003280,LA HISPANO DEL CID SA,29/05/13. SERVICIO DISCRECIONAL DE AUTOBUS PARA ESCOLARES QUE VISITAN EL MOLI DE LA FONT.,30/07/2013,"90,00 €",6,17000,227993
2013.0003330,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"9 REPRESENTACIONES DE ""LA SOSTENIBILIDAD MEDIAMBIENTAL Y EL RECICLAJE"" DENTRO DE LA CAMPAÑA CIUDAD MAS SOSTENIBLE EDUCACIONAL EN COLEGIOS",30/07/2013,"3.000,00 €",6,17000,226050
2013.0003333,GPM SERVI SL,10/06/13. SUMINISTRO DE PRODUCTOS RODENTICIDAS PARA COLABORAR CON LOS AGRICULTORES AL CONTROL DE PLAGAS DE ROEDORES.,30/07/2013,"3.993,00 €",6,17000,221990
2013.0003441,TRANSPORTES ALEGRE MONFERRER SL,"JUNIO/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",10/09/2013,"5.998,21 €",6,17000,22700
2013.0003771,GOLONDRINAS CLAVEL SL,"EXCURSIÓN A LAS ISLAS COLUMBRETES CON EL CATAMARAN CON MOTIVO DE LOS PREMIOS ""ISLAS COLUMBRETES 2013"" D/01/03/2013.",30/09/2013,"2.750,00 €",6,17000,48100
2013.0003845,CHABRERA AGROQUIMICS SL,04/07/13. HERBICIDAS CAMARA AGRARIA,30/09/2013,"1.002,33 €",6,17000,221992
2013.0003847,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,REPARACION Y CONSERVACION MAQUINARIA CAMARA AGRARIA.,30/09/2013,"702,85 €",6,17000,21300
2013.0003858,CONFECCIONES LABORALES CASTELLON SL,SUMINISTRO VESTUARIO PARA CONSEJO AGRARIO.,09/08/2013,"3.074,08 €",6,17000,22104
2013.0003869,J CANET SLU,"JUNIO/13,  RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES. DEC.15-11-12",10/09/2013,"687,45 €",6,17000,227991
2013.0003899,SDAD.CIVIL POZO PEÑA ROCHA,2º TRIMESTRE/13. CONSUMO AGUA PARA RIEGO DE ZONAS AJARDINADAS EN PENYETA ROJA.,30/09/2013,"372,82 €",6,17000,22101
2013.0004070,GRABADOS MOLINA 99 SL,"27/05/13. ADQUISICION DE MATERIAL PROMOCIONAL CONCURSO ""EL PARQUE RIBALTA, BIOSFERA DE CASTELLON""",30/09/2013,"211,08 €",6,17000,22000
2013.0004085,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"PREMIO CATEGORIA INVIERNO (ENERO) IV CONCURSO FOTOGRAFIA ""CALENDARIO NATURAL CASTELLON 2013"", D/ 26/02/2013 Y ACTA DEL JURADO DE 15/04/2013.",11/09/2013,"100,00 €",6,17000,48100
2013.0004086,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"PREMIO CATEGORIA INVIERNO (FEBRERO) IV CONCURSO FOTOGRAFIA ""CALENDARIO NATURAL CASTELLON 2013"", D/ 26/02/2013 Y ACTA DEL JURADO DE 15/04/2013.",11/09/2013,"100,00 €",6,17000,48100
2013.0004087,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"PREMIO CATEGORIA INVIERNO (MARZO) IV CONCURSO FOTOGRAFIA ""CALENDARIO NATURAL CASTELLON 2013"", D/ 26/02/2013 Y ACTA DEL JURADO DE 15/04/2013.",11/09/2013,"100,00 €",6,17000,48100
2013.0004088,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"PREMIO CATEGORIA PRIMAVERA (MAYO) IV CONCURSO FOTOGRAFIA ""CALENDARI NATURAL DE CASTELLON 2013"", D/ 26/02/2013 Y ACTA DEL JURADO DE 18/04/2013.",11/09/2013,"100,00 €",6,17000,48100
2013.0004258,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"PREMIO CATEGORIA PRIMAVERA (ABRIL) IV CONCURSO FOTOGRAFICO ""CALENDARI NATURAL DE CASTELLO 2013"" S/A 18/07/13",26/09/2013,"100,00 €",6,17000,48100
2013.0004259,"MINKO, IRMA","PREMIO CATEGORIA PRIMAVERA (JUNIO) IV CONCURSO FOTOGRAFICO ""CALENDARI NATURAL DE CASTELLO 2013"" S/C 18/07/13",26/09/2013,"100,00 €",6,17000,48100
2013.0004515,J CANET SLU,"JULIO/13, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES. DEC.15-11-12",14/10/2013,"908,05 €",6,17000,227991
2013.0004519,TRANSPORTES ALEGRE MONFERRER SL,"JULIO/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",14/10/2013,"5.994,10 €",6,17000,22700
2013.0004627,TRANSPORTES ALEGRE MONFERRER SL,"AGOSTO/13, LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",14/10/2013,"5.961,19 €",6,17000,22700
2013.0004821,J CANET SLU,"AGOSTO/13, RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES EN TERMINO MUNICIPAL. DEC.15-11-12",15/10/2013,"532,59 €",6,17000,227991
2013.0004827,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/05 AL 15/06/13, CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",15/10/2013,"1.779,11 €",6,17000,227990
2013.0004828,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/06 AL 15/07/13, CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",15/10/2013,"1.779,11 €",6,17000,227990
2013.0004921,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/07  AL 15/08/13,  CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",29/10/2013,"1.779,11 €",6,17000,227990
2013.0004923,ASOC GRUP AU D'ORNITOLOGIA,"DEL 16/08 AL 15/09/13,  CONTROL DE POBLACIONES DE ALGUNAS ESPECIES DE AVIFAUNA URBANA. DEC.21-05-12",29/10/2013,"1.779,11 €",6,17000,227990
2013.0004925,TRANSPORTES ALEGRE MONFERRER SL,"SEPTIEMBRE/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",29/10/2013,"5.950,90 €",6,17000,22700
2013.0005101,TALLERES AGROXIMO SL,27/08/13. REPARACION Y CONSERVACION MAQUINARIA CAMARA AGRARIA,08/11/2013,"1.085,85 €",6,17000,21300
2013.0005143,CDAD DE REGANTES COTO ARROCERO,2º SEMESTRE/13. CANON USO MOLI DE LA FONT.,15/11/2013,"29.965,00 €",6,17000,20900
2013.0005229,J CANET SLU,"SEPTIEMBRE/13, SERVICIO DE RECOGIDA, TRANSPORTE, TRATAMIENTO Y ELIMINACION DE CADAVERES DE ANIMALES EN TERMINO MUNICIPAL. DEC.15-11-12",06/11/2013,"605,36 €",6,17000,227991
2013.0005252,CHABRERA AGROQUIMICS SL,10/09/13. HERBICIDAS CAMARA AGRARIA,12/11/2013,"1.004,96 €",6,17000,221992
2013.0005253,MAQUIVER SL,CAMPAÑA DE SEÑALIZACION EDUCATIVA: RUTAS ENTRE NARANJOS,12/11/2013,"2.479,53 €",6,17000,226050
2013.0005311,CDAD DE REGANTES COTO ARROCERO,"1º SEMESTRE/13. CUOTA COMUNIDAD DE REGANTES TERRENOS SITOS EN LAS PARTIDAS FILETA DE RAMELL, PLANA Y PINAR DEL MAR. 1ª OPERACIÓN CONTABLE S/BASE 5 DE LAS BASES DE EJEC.PRESUPUESTO",20/11/2013,"281,40 €",6,17000,226991
2013.0005312,CDAD DE REGANTES COTO ARROCERO,"2º SEMESTRE/13. CUOTA COMUNIDAD DE REGANTES TERRENOS SITOS EN LAS PARTIDAS FILETA DE RAMELL, PLANA Y PINAR DEL MAR.",20/11/2013,"281,40 €",6,17000,226991
2013.0005341,TRANSPORTES ALEGRE MONFERRER SL,"OCTUBRE/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",13/11/2013,"6.886,84 €",6,17000,22700
2013.0005551,TRANSPORTES ALEGRE MONFERRER SL,05/11/13. TRANSPORTE DE MATERIAL A DIVERSOS CAMINOS RURALES DEL TÉRMINO MUNICIPAL.,30/12/2013,"4.967,10 €",6,17000,22300
2013.0005838,SDAD.CIVIL POZO PEÑA ROCHA,3º TRIMESTRE/13. CONSUMO AGUA PARA RIEGO DE ZONAS AJARDINADAS EN PENYETA ROJA.,16/12/2013,"182,27 €",6,17000,22101
2013.0005851,ASOC GRUP AU D'ORNITOLOGIA,SUMINISTRO DE 2 CAJAS DE PINCHOS CONTRA PALOMAS.,17/12/2013,"494,90 €",6,17000,221992
2013.0005852,RICARDO PERIS SL,21/10/13. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR LA CAMARA AGRARIA,17/12/2013,"3.998,11 €",6,17000,221992
2013.0005853,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,21/10/13. REPARACION Y CONSERVACION DE MAQUINARIA DE LA CAMARA AGRARIA,17/12/2013,"920,19 €",6,17000,21300
2013.0005855,TALLERES AGROXIMO SL,REPARACION MAQUINARIA CAMARA AGRARIA,17/12/2013,"909,30 €",6,17000,21300
2013.0005856,ALMAKIVI SL,MATERIAL DE CONSTRUCCIÓN PARA SU USO POR LA CAMARA AGRARIA,17/12/2013,"1.531,76 €",6,17000,221992
2013.0005869,ALMAKIVI SL,SUMINISTRO DE PUNTAL TELESCÓPICO PARA LA CAMARA AGRARIA,17/12/2013,"240,72 €",6,17000,221992
2013.0005888,COOP AGRICOLA SAN ISIDRO CS,MATERIAL PARA LA CAMPAÑA DE VOLUNTARIADO PARA LA PLANTACION DE ARBOLES.,17/12/2013,"1.002,01 €",6,17000,226050
2013.0006039,TRANSPORTES ALEGRE MONFERRER SL,DEL 16 AL 31/10/13. LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS DE CASTELLON.,19/12/2013,"4.860,69 €",6,17000,22700
2013.0006102,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"TRABAJOS DE CREATIVIDAD, DISEÑO Y CONTENIDOS DEL IV CONGRESO DE EFICIENCIA ENERGÉTICA Y METEOROLOGÍA JOSÉ QUEREDA.",30/12/2013,"7.499,58 €",6,17000,22606
2013.0006120,CHABRERA AGROQUIMICS SL,06/11/13. SUMINISTRO HERBICIDAS CAMARA AGRARIA,30/12/2013,"2.441,34 €",6,17000,221992
2013.0006121,TALLERES AGROXIMO SL,06/11/13. SUMINISTRO MALLAZO Y VARILLAS PARA SU USO POR NEG. AGRICULTURA.,30/12/2013,"1.250,17 €",6,17000,221992
2013.0006122,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,06/11/13. REPARACION Y CONSERVACION MAQUINARIA CAMARA AGRARIA,30/12/2013,"1.379,13 €",6,17000,21300
2013.0006138,JOSE LUIS FABRA SL,"REDACCIÓN PROYECTO DE OBRAS CONTRA INUNDABILIDAD EN LA ACEQUIA ANTRILLES. MARGEN DCHA DEL RIO SECO. PLAN ESPECIAL DE LA MARJALERIA"". DEC. 27-08-13",19/12/2013,"12.902,05 €",6,17000,227061
2013.0006140,JOSE LUIS FABRA SL,"REDACCIÓN DEL ESTUDIO PARA LA OBRA ""LEVANTAMIENTO TOPOGRÁFICO EN LA ACEQUIA ANTRILLES. MARGEN DCHA DEL RIO SECO. PLAN ESPECIAL DE LA MARJALERIA"".. DEC. 27-08-13",19/12/2013,"3.502,95 €",6,17000,227061
