Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2017.0005115,"ACUSTICA Y TELECOMUNICACIONES, S.L.",40 % A LA PRESENTACIÓN DEL ESTUDIO ACUSTICO DEL PLAN GRAL.EXTRUCTURAL COMPLETO.TRABAJOS DE REDACCIÓN DEL ESTUDIO ACUSTICO DEL PLAN GENERAL ESTRUCTURAL DE CASTELLÓN Y LA REVISIÓN DEL PLAN ACUSTICO MUNICIPAL DEC.11/07/2016 Y  02/03/2017.,20/10/17,"11.446,60 €",5,15111,64000
2017.0004914,"LABACUSTIC, S.L",12/09/17. ESTUDIO ACÚSTICO ZONA ZAS TETÚAN Y MURALLAS.,09/11/17,"12.251,25 €",5,17210,227060
2017.0006233,"COPISTERIA DE CASTELLON, S.L.",01/09/17. COPIAS PLANOS PROYECTO GARAJE PRIVADO C/RIO JUCAR PARA ACTIVIDADES.,05/12/17,"5,32 €",5,15123,22000
2017.0006234,"COPISTERIA DE CASTELLON, S.L.",27/09/17. COPIAS PLANOS PROYECTO ACTIVIDAD BAR PARA ACTIVIDADES.,05/12/17,"2,66 €",5,15123,22000
2017.0006235,"COPISTERIA DE CASTELLON, S.L.",29/08/17. COPIAS PLANOS PARA PROYECTO ACTIVIDADES MERENDERO PLAYA GURUGU.,05/12/17,"2,66 €",5,15123,22000
2017.0006236,"COPISTERIA DE CASTELLON, S.L.",20/10/17. COPIAS PLANOS EXPTE GARAJE APARCAMIENTO.,05/12/17,"5,02 €",5,15123,22000
2017.0000455,"ALLIANZ COMPAÑIA DE SEGUROS,S.A.",DEL 30/12/16 AL 18/04/17. POLIZA SEGURO RESPONSABILIDAD CIVIL ALUMNOS CURSOS DE LIMPIEZA Y DE JARDINERIA.,24/02/17,"315,05 €",4,24180,16205
2017.0000456,"ALLIANZ COMPAÑIA DE SEGUROS,S.A.",DEL 30/12/16 AL 18/04/17. POLIZA SEGURO ACCIDENTES ALUMNOS CURSOS DE LIMPIEZA Y DE JARDINERIA.,24/02/17,"126,74 €",4,24180,16205
2017.0000844,AUTOCARES MESEGUER SL,"09/02/17. SERVICIO DISCRECIONAL DE AUTOBÚS CON MOTIVO DE LA VISITA A ONDA DENTRO DEL PROGRAMA DE FORMACIÓN ""ESPECIALIDAD LIMPIEZA DE ESPACIOS ABIERTOS Y EQUIPAMIENTOS INDUSTRIALES"".",17/03/17,"75,00 €",4,24180,22799
2017.0001010,CASMAR 2000 S.A.,"24/02/17. MATERIALES TALES COMO PAPELERAS, JARRAS, EMBUDOS, GUANTES, ESCOBAS, ETC., PARA EL CURSO DE ""LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES"", PROYECTO FORMACION PROFESIONAL PARA EL EMPLEO (CASMAR 2000 SA). SUBVENCION SERVEF.",27/03/17,"1.535,07 €",4,24180,22199
2017.0001171,CASMAR 2000 S.A.,24/02/17. ADQUISICIÓN VESTUARIO PARA EL CURSO VIVEROS Y JARDINES.,27/03/17,"1.896,66 €",4,24180,22199
2017.0001172,CASMAR 2000 S.A.,24/02/17. SUMINISTRO VESTUARIO PARA MODULO DE LIMPIEZA DE EDIFICIOS.,27/03/17,"1.896,66 €",4,24180,22199
2017.0001122,FULVIO NAVARRO E HIJOS SL,"27/02/17. MANUALES DIDACTICOS PARA LOS ALUMNOS DEL CURSO ""LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES"". PROYECTO FORMACION PROFESIONAL PARA EL EMPLEO",27/03/17,"283,69 €",4,24180,22199
2017.0001124,FULVIO NAVARRO E HIJOS SL,"27/02/17. MANUALES DIDACTICOS PARA LOS ALUMNOS DEL CURSO ""ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERIA"", FORMACION PROFESIONAL PARA EL EMPLEO",27/03/17,"560,68 €",4,24180,22199
2017.0001125,FULVIO NAVARRO E HIJOS SL,28/02/17. SUMINISTRO DE MATERIAL DE OFICINA PARA LAS NUEVAS DEPENDENCIAS DE LA AGENCIA DE DESARROLLO LOCAL EN EL EDIFICIO CIES,27/03/17,"1.571,52 €",4,24100,221990
2017.0001011,PLACIDO GOMEZ SL,02/01/17. MATERIAL DE PAPELERIA PARA SU USO POR MODULO DE AUXILIAR VIVEROS.,27/03/17,"402,10 €",4,24180,22199
2017.0001082,PLACIDO GOMEZ SL,02/01/17. MATERIAL DE PAPELERIA PARA SU USO POR EL MODULO DE LIMPIEZA.,27/03/17,"402,10 €",4,24180,22199
2017.0001170,COOP AGRICOLA SAN ISIDRO CS,"28/02/17. PLANTAS, FLORES Y PEQUEÑO MATERIAL DEL OFICIO DE JARDINERIA (TIJERAS, TUBO, MACETAS, SUSTRATO,..) PARA EL CURSO  ""ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERIA"" (COOP. AGRICOLA SAN ISIDRO, COOP.V.). SUBVENCION SERVEF",27/03/17,"5.526,70 €",4,24180,22199
2017.0001215,"COMERCIAL CASTILLO 88, S.A.",06/03/17. EQUIPAMIENTO SALA REUNIONES EDIFICIO CIES CIUDAD TRANSPORTE,11/04/17,"302,38 €",4,24100,221990
2017.0001242,PLACIDO GOMEZ SL,ENERO/17. MATERIAL DE PAPELERIA PARA SU USO POR EL TALLER DE EMPLEO.,11/04/17,"1.582,52 €",4,24122,22199
2017.0001431,PLACIDO GOMEZ SL,31/01/17. MATERIAL DE PAPELERIA PARA SU USO POR TALLER DE EMPLEO.,11/04/17,"2.173,29 €",4,24121,22199
2017.0001495,PLACIDO GOMEZ SL,16/03/17. MATERIAL DIDÁCTICO PARA SU USO POR TALLER DE EMPLEO.,20/04/17,"792,24 €",4,24121,22199
2017.0001670,SDAD ESPAÑOLA CARBUROS METALICOS SA,01/04/17. SUMINISTRO GAS PARA SOLDAR PARA SU USO EN EL TALLER DE EMPLEO.,28/04/17,"813,11 €",4,24122,22199
2017.0001582,PLACIDO GOMEZ SL,16/03/17. MATERIAL DIDÁCTICO PARA SU USO POR TALLER DE EMPLEO.,28/04/17,"782,80 €",4,24122,22199
2017.0001577,RICARDO PERIS MATERIALES SL,08/03/17. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR EL TALLER DE EMPLEO.,28/04/17,"2.124,58 €",4,24122,22199
2017.0002025,CASMAR 2000 S.A.,23/03/17. ADQUISICIÓN VESTUARIO PARA TALLER DE EMPLEO.,15/05/17,"921,48 €",4,24122,22199
2017.0002076,PINTURAS DORALPIN SL.,22/02/17. MATERIAL DE PINTURA PARA SU USO POR EL TALLER DE EMPLEO.,15/05/17,"2.884,01 €",4,24121,22199
2017.0002077,PINTURAS DORALPIN SL.,24/02/17. MATERIAL DE PINTURA PARA SU USO POR EL TALLER DE EMPLEO VII.,15/05/17,"1.038,79 €",4,24121,22199
2017.0002004,PLACIDO GOMEZ SL,16/03/17. MATERIAL DE PAPELERIA PARA SU USO POR EL TALLER DE EMPLEO.,15/05/17,"1.104,63 €",4,24121,22199
2017.0001992,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,"31/03/17. BUZONES PARA COMUNIDADES DE C/HUESCA,1, 3 Y 11 NECESARIOS PARA LOS TRABAJOS DE REHABILITACIÓN DE INMUEBLES Y VIVIENDAS PARA EL PROYECTO DE JORNALS DE LA VILA.",15/05/17,"474,28 €",4,24130,221990
2017.0002073,"VILALIST, S.L",12/04/17. MATERIAL PARA SU USO POR EL TALLER DE EMPLEO VII.,15/05/17,"4.498,68 €",4,24121,22199
2017.0002074,"VILALIST, S.L",12/04/17. SUMINISTRO HERRAMIENTAS CERÁMICAS PARA SU USO EN EL TALLER DE EMPLEO VII.,15/05/17,"487,33 €",4,24121,22199
2017.0002019,"GRUPO GALILEA PUIG, CORREDURIAS DE SEGUROS ASOCIADAS SA",DEL 18/04 AL 04/05/17. SUPLEMENTO PÓLIZA RESPONSABILIDAD CIVIL DEL CURSO DE JARDINERIA.,15/05/17,"84,39 €",4,24180,16205
2017.0002020,"GRUPO GALILEA PUIG, CORREDURIAS DE SEGUROS ASOCIADAS SA",DEL 18/04 AL 04/05/17. SUPLEMENTO PÓLIZA ACCIDENTES DEL CURSO DE JARDINERIA.,15/05/17,"65,96 €",4,24180,16205
2017.0001917,CASMAR 2000 S.A.,08/02/17. SERIGRAFIA VESTUARIO PARA LOS PARTICIPANTES EN EL CURSO DE TALLER DE EMPLEO.,16/05/17,"379,76 €",4,24121,22199
2017.0001878,COOP AGRICOLA SAN ISIDRO CS,"04/06/17. MATERIALES DE JARDINERÍA PARA EL CORRECTO DESARROLLO DEL CURSO ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA.",16/05/17,"5.655,42 €",4,24180,22199
2017.0002121,"KONTOR STIL, S.L.",24/04/17. SUMINISTRO DE EQUIPAMIENTO PARA LA ZONA DE RECEPCIÓN DE LAS NUEVAS DEPENDENCIAS DE LA AGENCIA DE DESARROLLO LOCAL EN EL EDIFICIO CIES.,24/05/17,"4.392,58 €",4,24100,62300
2017.0002174,"COMERCIAL CASTILLO 88, S.A.",30/03/17. MAQUINARIA PARA TRABAJOS TALLER DE FONTANERIA MODULO DE OPERACIONES DE FONTANERIA Y CALEFACCIÓN-CLIMATIZACIÓN DOMÉSTICA DEL TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A,05/06/17,"1.593,40 €",4,24120,62300
2017.0002176,INDUSTRIAL AUTO PITARCH SL,25/04/17. HERRAMIENTAS PARA REVISIÓN Y MANTENIMIENTO DE PLACAS SOLARES DEL CENTRO MUNICIPAL DE FORMACIÓN. MÓDULO DE OPERACIONES DE FONTANERÍA Y CALEFACCIÓN-CLIMATIZACIÓN DOMÉSTICA DEL TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A.,05/06/17,"1.310,94 €",4,24122,22199
2017.0002609,"SUMINISTROS SEQUIOL, S.L.L.",28/04/17. MATERIALES PARA PRÁCTICAS FORMATIVAS TRABAJOS DE INSTALACIÓN Y REVISIÓN DE LA FONTANERÍA DE BAÑOS EDIFICIO CENTRO MUNICIPAL DE FORMACIÓN -MÓDULOS DE FONTANERÍA Y CALEFACCIÓN TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A.,19/06/17,"6.040,80 €",4,24122,22199
2017.0002704,RICARDO PERIS MATERIALES SL,30/03/17. MATERIALES PARA LA PUESTA EN MARCHA DEL MÓDULO DE ALBAÑILERÍA TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-B.,19/06/17,"1.131,14 €",4,24121,22199
2017.0002175,INDUSTRIAL AUTO PITARCH SL,25/04/17. HERRAMIENTAS PARA TERMINACIÓN DE VENTANAS (JAMBAS Y DINTELES) EXISTENTES EN LA PLANTA SEGUNDA DEL CENTRO MUNICIPAL DE FORMACIÓN. MÓDULO DE ALBAÑILERÍA DEL TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A.,22/06/17,"1.548,07 €",4,24122,22199
2017.0002209,INDUSTRIAL AUTO PITARCH SL,"25/04/17. HERRAMIENTAS DE LABORES AUXILIARES DE OBRA Y PASTAS, MORTEROS, ADHESIVOS Y HORMIGONES PARA MODULOS FORMATIVOS ALBAÑILERÍA DEL TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A",22/06/17,"5.407,62 €",4,24122,22199
2017.0002210,INDUSTRIAL AUTO PITARCH SL,"25/04/17. ADQUISICION DE 1 CABRESTANTE, 2 PERFILES GUIA, 2 ROLDANAS Y 1 COLUMNA PARA TRABAJOS DE REHABILITACION DE JORNALS DE VILA.",22/06/17,"2.030,40 €",4,24130,221990
2017.0002211,INDUSTRIAL AUTO PITARCH SL,25/04/17. FRESADORA Y JUEGO DE FRESAS PARA SUSTITUCIÓN BALCONERAS DE MADERA POR OTRAS DE ALUMINIO-PROYECTO JORNALS DE VILA.,22/06/17,"4.354,45 €",4,24130,221990
2017.0003006,FORO SOCIEDAD Y GESTION PUBLICA SL,2017. ASISTENCIA TÉCNICA ADHESIÓN AL FORO DE CIUDADES POR EL EMPLEO.,03/07/17,"2.613,60 €",4,24100,22706
2017.0002886,FULVIO NAVARRO E HIJOS SL,DEL 1 AL 17/05/17. MATERIAL DE PAPELERÍA PARA SU USO POR EL TALLER DE EMPLEO.,07/07/17,"820,80 €",4,24122,22199
2017.0003310,LLIBRERIA CASTELLO SL,DEL 1 AL 06/06/17. MANUALES PARA TALLER DE EMPLEO.,07/07/17,"1.819,61 €",4,24121,22001
2017.0003183,RICARDO PERIS MATERIALES SL,30/03/17. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR EL TALLER DE EMPLEO VII B.,07/07/17,"2.212,75 €",4,24121,22199
2017.0003381,PINTURAS DORALPIN SL.,03/05/17. MATERIALES NECESARIOS PARA LAS PRACTICAS CORRESPONDIENTES AL NIVEL 2 DEL CERTIFICADO DE PROFESIONALIDAD DE PINTURA DECORATIVA EN CONSTRUCCION. SUBVENCION SERVEF PARA TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-B,20/07/17,"3.255,88 €",4,24121,22199
2017.0003460,PLACIDO GOMEZ SL,20/06/17. MANUALES DIDACTICOS PARA LA IMPARTICION DEL NIVEL 2 DE LOS CERTIFICADOS DE PROFESIONALIDAD PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII A,26/07/17,"2.163,40 €",4,24122,22001
2017.0003452,FULVIO NAVARRO E HIJOS SL,19/05/17. MATERIAL FUNGIBLE Y DE OFICINA PARA LAS ACTIVIDADES DEL PROYECTO CASTELLÓ OEST,26/07/17,"1.620,44 €",4,24160,22000
2017.0002500,CRISTALERIA EDO ROVIRA SL,10/04/17. CRISTALES NECESARIOS PARA TRABAJOS DE REPARACIÓN EN DIVERSOS INMUEBLES MUNICIPALES PARA TRABAJOS REHABILITACIÓN PROYECTO JORNALS DE LA VILA.,27/07/17,"697,54 €",4,24130,221990
2017.0002501,CRISTALERIA EDO ROVIRA SL,10/04/17. SUSTITUCIÓN DE VENTANAS EXISTENTES EN ALGUNAS VIVIENDAS DE PROPIEDAD MUNICIPAL PARA TRABAJOS DE REHABILITACIÓN DE VIVIENDAS PROYECTO JORNALS DE VILA.,27/07/17,"5.922,91 €",4,24130,221990
2017.0003885,FULVIO NAVARRO E HIJOS SL,"01/07/17. MATERIAL ESCOLAR Y MANUALES DIDACTICOS PARA EL PROYECTO ""T'AVALEM CASTELLÓ ENCLAU JOVE"", PROGRAMA MIXTO DE EMPLEO-FORMACION GARANTIA JUVENIL",11/08/17,"672,37 €",4,24123,22000
2017.0004159,CASMAR 2000 S.A.,24/7/17. VESTUARIO SERIGRAFIADO Y EPIS PARA EL ALUMNADO DE NUEVA INCORPORACION Y VESTUARIO DE VERANO PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A,04/09/17,"954,40 €",4,24122,22104
2017.0004041,LLIBRERIA CASTELLO SL,"11/07/17. MATERIAL ESCOLAR Y MANUALES DIDACTICOS PARA EL PROYECTO ""T'AVALEM CASTELLÓ ENCLAU JOVE"", PROGRAMA MIXTO DE EMPLEO-FORMACION GARANTIA JUVENIL",04/09/17,"2.050,84 €",4,24123,22001
2017.0004304,METALCO SA,"31/07/17. SUMINISTRO VESTUARIO Y EPIS PARA EL ALUMNADO Y PROFESORADO DE ""T'AVALEM CASTELLÓ ENCLAU JOVE"", PROGRAMA MIXTO DE EMPLEO-FORMACION GARANTIA JUVENIL DEC. 19/06/2017.",15/09/17,"6.138,60 €",4,24123,22104
2017.0003983,"ALUVAL, S.A.",06/04/17. MATERIALES PARA LA FABRICACIÓN DE PREMARCOS DE VENTANAS- REHABILITACIÓN DE INMUEBLES Y VIVIENDAS MUNICIPALES PROYECTO JORNALS DE LA VILA.,27/09/17,"6.039,27 €",4,24130,221990
2017.0004153,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,3/7/17. IMPRESION CARTON PLUMA Y DIPTICIOS PARA PROYECTO CASTELLO-OEST,04/10/17,"106,48 €",4,24160,226020
2017.0005046,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,05/09/17. ALQUILER DE 3 EQUIPOS INFORMÁTICOS PARA ACCIONES DE ALFABETIZACIÓN INFORMÁTICA. PROYECTO CASTELLÓ OEST. S/DEC 3/08/2017,06/10/17,"290,40 €",4,24160,20300
2017.0005096,FULVIO NAVARRO E HIJOS SL,31/08/17. MEDIOS DIDÁCTICOS Y MATERIAL DE OFICINA PARA LA FORMACIÓN QUE SE IMPARTE EN EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A S/DEC 16/08/2017,06/10/17,"1.150,13 €",4,24122,22199
2017.0005047,PLACIDO GOMEZ SL,12/09/17. MATERIALES ESCOLARES NECESARIOS PARA CLASES COMPETENCIAS CLAVE T'AVALEM CASTELLÓ ENCLAU JOVE S/DEC 16/08/2017,06/10/17,"339,59 €",4,24123,22000
2017.0005045,MATERIALES DE CONSTRUCCION RAFAEL VIDAL SL,"12/09/17. MATERIALES (BATIDORA BELLOTA, YESO PROYECTADO, ARENA, CAPAZOS..) NECESARIOS PARA EL FUNCIONAMIENTO DEL MÓDULO DE PINTURA DECORATIVA DE TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-B S/DEC 16/08/2017",06/10/17,"961,65 €",4,24121,22199
2017.0005137,RICARDO PERIS MATERIALES SL,"06/09/17. MATERIALES ALBAÑILERÍA (C.V. BLANCO Y SALMÓN, ATOBA MANUAL, MORTERO, CEMENTOS, ARENA..) PARA PRÁCTICAS DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A.S/DEC 16/08/2017",06/10/17,"3.618,24 €",4,24122,22199
2017.0004990,"COMERCIAL CASTILLO 88, S.A.","29/08/17. SUMINISTRO DE 1 DESBROZADORA, 1 DESBROZADORA FS311, 1 SEGADORA, 1 COLORIMETRO Y 1 MEDIDOR ESPESOR PINTURA SECA PARA MODULOS DEL TALLER DE EMPLEO VII-B DEC. 16/08/2017.",16/10/17,"4.301,55 €",4,24120,62300
2017.0005099,LOGOPOST SEÑALIZACION SA,"07/09/17. IMPRESIÓN 4 ROLL-UP PARA SEÑALIZACIÓN DE EVENTOS, CON EL FIN DE DAR A CONOCER LA NUEVA MARCA CREADA, CASTELLÓCREA.",27/10/17,"467,06 €",4,24100,226020
2017.0005263,"PADEL PINTURAS, S.L.",29/09/17. MATERIALES DE PINTURA NECESARIOS PARA EL DESARROLLO DE LAS PRÁCTICAS DE LOS MÓDULOS DE PINTURA DECORATIVA DE TALLER EMPLEO CIUDAD DE LA SOLIDARIDA VII-B S/DEC 16/08/2017,02/11/17,"5.500,31 €",4,24121,22199
2017.0005641,AUTOCARES MESEGUER SL,"06/10/17. DESPLAZAMIENTO EN AUTOBUS AL CENTRO DE EDUCACION AMBIENTAL DE SAGUNTO CON MOTIVO DE VISITA FORMTIVA DE ""SENSIBILIZACION MEDIOAMBIENTAL"" PARA EL TALLER DE EMPLEO VII-B.S/DEC 4/10/2017",02/11/17,"125,00 €",4,24121,22799
2017.0005347,"PIROMETROL, S.L.","29/09/17. MATERIALES (CARBONATO Y SILICATO SÓDICO, ESMALTE, PINCELES,..)PARA EL DESARROLLO DE PRÁCTICAS EN ALFARERÍA ARTESANA DEL TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VII-B S/ DEC 3/08/2017",02/11/17,"3.997,79 €",4,24121,22199
2017.0005729,AUTOCARES MESEGUER SL,06/10/17. SERVICIO DISCRECIONAL DE AUTOBUS CON MOTIVO DEL DESPLAZAMIENTO AL CENTRO DE EDUCACION AMIBENTAL ENTORNO DE LA MARJAL DELS MOROS (SAGUNTO) PARA VISITA FORMATIVA  S/DEC 4/10/2017,09/11/17,"100,00 €",4,24122,22799
2017.0005736,GESTION INTEGRAL TELECOMUNICACIONES SANCHIS,05/10/17. MATERIALES CORPORATIVOS PARA LA AGENCIA DE DESARROLLO LOCAL.,09/11/17,"4.275,60 €",4,24100,226021
2017.0005659,"RIZZO CABANELLAS, ANA LAURA",04/10/17. TALLER A PERSONAS EMPRENDEDORAS Y ORIENTADO A ELABORACION DE PLANES DE EMPRESA A TRAVES DE METODOLOGIA PRACTICA Y HERRAMIENTAS DE VANGUARDIA EN DIFERENTES CAMPOS,09/11/17,"1.560,90 €",4,24100,227061
2017.0005940,CERAMICA ARTISTICA TE D'OR,27/10/17. SERVICIO DE IMPARTICIÓN DE CURSO TEÓRICO-PRÁCTICO DE DECORACIÓN DE ALFARERÍA ARTESANAL DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-B. S/DEC 19/10/2017,10/11/17,"363,00 €",4,24121,22606
2017.0005875,"CUATRONOVENTA SERVICIOS PROFESIONALES, S.L","11/09/17. SERVICIO DE ORGANIZACIÓN DE UNA JORNADA ""BEACHEMPRENDE"" DE CREATIVIDAD PARA EMPRESAS VERDES CON IMPACTO SOCIAL EN UN ESPACIO ABIERTO DE CASTELLÓN S/DEC 16/08/2017",10/11/17,"1.815,00 €",4,24100,227061
2017.0005750,RICARDO PERIS MATERIALES SL,04/10/17. MATERIALES Y PEQUEÑA HERRAMIENTA PARA LAS PRACTICAS CORRESPONDIENTES AL NIVEL 1 DE CERTIFICADO DE OPERACIONES AUXILIARES DE ACABADOS RIGIDOS Y URBANIZACION EN EL MODULO DE ALBAÑILERIA DEL PROYECTO T'AVALEM. S/DEC 2/10/2017,10/11/17,"9.420,46 €",4,24123,22199
2017.0005728,"COMPONENTES ELECTRONICOS MARBE, S.L.",26/09/17. CABLEADO Y MATERIALES NECESARIOS PARA LA CORRECTA CONEXION A INTERNET DE LOS ORDENADORES UTILIZADOS POR LOS USUARIOS DEL PROYECTO CASTELLO OEST.,13/11/17,"511,33 €",4,24160,22199
2017.0006255,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,OCTUBRE/17. ALQUILER DE 3 EQUIPOS INFORMÁTICOS PARA ACCIONES DE ALFABETIZACIÓN INFORMÁTICA. PROYECTO CASTELLÓ OEST. S/DEC 3/08/2017,22/11/17,"290,40 €",4,24160,20300
2017.0006063,MADERAS FARNOS SL,"24/10/17. MATERIAL DE MADERA NECESARIO PARA LAS PRACTICAS DEL NIVEL 1 DEL CERTIFICADO DE PROFESIONALIDAD ""TRABAJOS DE CARPINTERIA Y MUEBLE"" PARA EL PROYECTO T'AVALEM CASTELLO ENCLAU JOVE S/DEC 13/10/2017",22/11/17,"2.833,89 €",4,24123,22199
2017.0005909,AUTOCARES MESEGUER SL,17/10/17. DESPLAZAMIENTO EN AUTOBUS AL CENTRO DE EDUCACION AMIBENTAL ENTORNO DE LA MARJAL DELS MOROS (SAGUNTO)  PARA VISITA FORMATIVA.PROYECTO T'AVALEM JOVE,22/11/17,"210,00 €",4,24123,22799
2017.0005961,MATERIALES DE CONSTRUCCION RAFAEL VIDAL SL,25/10/17. MATERIALES PARA EL ACONDICIONAMIENTO DEL CENTRO CANINO DE POLICIA LOCAL Y DESARROLLO DE LAS PRACTICAS PARA EL MODULO FABRICAS DE ALBAÑILERIA DEL TALLER CIUDAD DE LA SOLIDARIDAD VII A.,22/11/17,"465,29 €",4,24120,22199
2017.0006061,"PUBLIMPRES CASTELLON, S.L.",24/10/17. SUMINISTRO DE 37 BOLSAS Y MALETINES INDIVIDUALES PARA LOS ALUMNOS DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-B DEC16/10/2017,22/11/17,"407,77 €",4,24121,22199
2017.0006062,"PUBLIMPRES CASTELLON, S.L.",24/10/17. BOLSAS Y MALETINES INDIVIDUALES PARA QUE LOS ALUMNOS DEL PROYECTO T'AVALEM CASTELLO ENCLAU JOVE PUEDAN LLEVAR LA DOCUMENTACION Y BIBLIOGRAFIA QUE NECESITAN PARA SU TRABAJO DE ESTUDIO EN CASA S/DEC 16/10/2017,22/11/17,"407,77 €",4,24123,226990
2017.0005962,SUMINISTROS TAYMON CASTELLON SL,"25/10/17. MATERIALES (VÁLVULAS, INODOROS, LAVABOS, MACHONES..) PARA PRÁCTICAS DE MONTAJE Y MANTENIMIENTO DE INSTALACIONES CALORÍFICAS DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VII-A. S/DEC 16/08/2017",22/11/17,"4.725,34 €",4,24122,22199
