#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica,Unnamed: 4
2015.0006401,INDUSTRIAL AUTO PITARCH SL,"NOVIEMBRE 15. HERRAMIENTAS Y MAQUINARIA BASICA(CARGADOR BATERIAS,PINZAS,GATO ELEVACIÓN,REGATADORA,...)PARA MODULO DE INSTALACIONES ELECTRICAS DEL TALLER EMPLEO CIUDAD SOLIDARIDAD VI (APORTACION MUNICIPAL)",29/12/2015,"5.112,54 €",5,24120,62300,
2015.0006208,"COMERCIAL DE FUSTERIA BENAGES,S.L.",PUERTAS Y MODULOS DE MADERA PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI DEC. 11/12/2015.,28/12/2015,"8.923,56 €",5,24120,22199,
2015.0006049,"CREAS ID SOCIAL, S.L",SERVICIO DE ELABORACION DE UN PLAN ESTRATEGIDO DE EMPLEO CON UNA DURACION DE 280 HORAS S/DEC 16/11/2015,28/12/2015,"11.858,00 €",5,24100,227061,
2015.0006569,GRUPO PROSERMAN XXI SL,SUMINISTRO EQUIPOS INFORMATICOS Y VIDEOPROYECTORES PARA EL TALLER DE EMPLEO.,29/12/2015,"5.790,21 €",5,24120,62300,
2015.0005525,PLACIDO GOMEZ SL,SUMINISTRO LIBROS PARA EL TALLER DE EMPLEO.,18/12/2015,"695,57 €",5,24120,22000,
2015.0006187,"CRISTALERIA LUIS EDO, S.L.",VENTANAS DE ALUMINIO COMPLETAS (CON VIDRIO Y PERSIANAS) Y PUERTAS DE ALUMINIO PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI DEC. 11/12/2015.,28/12/2015,"6.524,73 €",5,24120,22199,
2015.0001331,PLACIDO GOMEZ SL,05/01/2015. SUMINISTRO MATERIAL PARA CURSO AUXILIAR VIVEROS Y JARDINERIA.,18/05/2015,"148,08 €",5,24180,22199,
2015.0000307,CASMAR 2000 S.A.,13/01/15. MATERIAL DE SEGURIDAD E HIGIENE DIRIGIDO AL COLECTIVO DE DISCAPACITADOS,15/04/2015,"1.285,93 €",5,24160,22199,
2015.0006259,"CREAS ID SOCIAL, S.L",ASISTENCIA TECNICA PARA DESARROLLO DE ACTIVIDADES  DEL GRUPO DE BUENAS PRACTICAS DE LA RED RETOS,30/12/2015,"3.872,00 €",5,24100,226990,
2015.0001125,MEDITERRANEO HOLIDAYS SL,25/03/2015. BILLETE DE AVION BRUSELAS - BARCELONA A FAVOR DE Dª. BEATRIZ JIMENEZ.,22/05/2015,"112,74 €",1,91200,226990,
2015.0000233,CASTELLO VENDIG SL,31/12/14. SUMINISTRO PARA LA CAFETERA ORGANOS DE GOBIERNO.,08/04/2015,"308,84 €",1,91200,226990,
2015.0000119,EQUIPO DE MEDIOS Y PUBLICACIONES SL,AÑO 2015. SUSCRIPCION ANUAL REVISTA EL ALCALDE,27/04/2015,"60,00 €",1,91200,22001,
2015.0002098,MEDITERRANEO HOLIDAYS SL,DEL 06 AL 07 DE MAYO DE 2015. GASTOS VIAJE A CHATELLERAUT A FAVOR DE VICENT SALES Y BEATRIZ JIMENEZ.,23/07/2015,"1.111,04 €",5,33400,226093,
2015.0001392,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,01/04/15. SELLOS TENENCIA ALCALDIA DISTRITO SUR,18/05/2015,"19,36 €",4,92065,220001,
2015.0001883,LLIBRERIA CASTELLO SL,01/04/2015. XII CONCURSO ESCOLAR DE MAQUETAS. GAIATA SEQUIOL.,26/11/2015,"480,00 €",1,91200,226991,
2015.0002406,"SERVEIS HOSTALERS DE CASTELLO, S.L.",01/08/14. MENUS CONCERTADOS ALCALDÍA,24/09/2015,"70,02 €",1,91200,226990,
2015.0000037,"CORONAS CASTELLON, S.L.",01/11/14 CENTROS PARA CEMENTERIOS,26/03/2015,"913,74 €",1,91200,226990,
2015.0002394,"CORONAS CASTELLON, S.L.","02. 07 Y 28/02/15. CENTRO NACIMIENTO, CORONA Y DESTA GALANIA REINA  2015",26/09/2015,"1.919,45 €",1,91200,226991,
2015.0000242,"CORONAS CASTELLON, S.L.","02/12, 11/12 Y 16/12/14. COMPRA DE CORONAS Y SERVICIOS PARA HOMENAJE",26/03/2015,"423,40 €",1,91200,226990,
2015.0001679,VALLS MIRALLES SLU,03/04/15 APERITIVOS Y BEBIDAS VIERNES SANTO PASCUA ALCALDÍA,23/07/2015,"92,02 €",1,91200,226990,
2015.0002464,VALLS MIRALLES SLU,03/05/2015. COMIDA OFRENDA VIRGEN DE LLEDO,26/09/2015,"410,00 €",1,91200,226990,
2015.0006322,"IMPRENTA ELCANO, S.L.",04/12/15. MATERIAL DE OFICINA PARA SU USO POR EL DISTRITO DEL GRAO,30/12/2015,"767,33 €",1,91202,226995,
2015.0006285,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,04/12/15.DISSENY DE LA MARCA PER A CONMEMORAR 300 ANYS PALAU MUNICIPAL,30/12/2015,"1.089,00 €",1,91200,22602,
2015.0006321,RICARDO PERIS MATERIALES SL,04/12/2015. MATERIAL PARA SU USO POR DISTRITO DEL GRAO.,30/12/2015,"999,99 €",1,91202,226995,
2015.0000391,"HNAS. BORDONAU, C.B.","05/02/15. BANDEJAS CON ESCUDO Y TEXTO, BOMBONERA Y JARRA CON CAJA.",20/04/2015,"820,38 €",1,91200,226010,
2015.0000383,MEDITERRANEO HOLIDAYS SL,"05/02/15. VIAJE A BARCELONA, BILLETE EUROMED Y HOTEL EN SAGRADA FAMILIA A FAVOR DE D.GONZALO ROMERO CASAÑA PARA EL ACTO DE PROCLAMACION DE LA REINA DE LA CASA DE VALENCIA",27/04/2015,"145,05 €",1,91200,226990,
2015.0000874,"J.PINAZO, S.L.",05/03/2015. NUEVE BANDERAS CONFECCIONADAS EN POLIESTER.,20/04/2015,"569,91 €",1,91200,226990,
2015.0000875,"J.PINAZO, S.L.",05/03/2015. QUINCE BANDERAS CONFECCIONADAS EN POLIESTER.,20/04/2015,"1.511,59 €",1,91200,226990,
2015.0002409,"SERVEIS HOSTALERS DE CASTELLO, S.L.",05/04/14. MENUS CONCERTADOS ALCALDÍA,24/09/2015,"194,77 €",1,91200,226990,
2015.0000983,INSTALACIONES TURISTICAS COSTERAS SA,"06/03/2015. HABITACION DOBLE Y PARKING A FAVOR DE SALLES, STEPHAN RUDY LOUIS, INVITADO ESPECIAL DE LA ASOC. MOROS DE ALQUERIA.",18/05/2015,"90,00 €",1,91200,226991,
2015.0000700,"SANTOS BALLESTER, C.B.",07/02 Y 14/02/15. CUATRO CESTAS DE FLORES PARA GAIATAS,20/04/2015,"750,00 €",1,91200,226991,
2015.0000984,INSTALACIONES TURISTICAS COSTERAS SA,"07/03/2015. COMIDA DELEGACIONES, JUNTA DE FIESTAS, REINA Y DAMAS DE LA CIUDAD Y AUTORIDADES, MAGDALENA 2015.",18/05/2015,"3.360,00 €",1,91200,226991,
2015.0003283,LA HISPANO DEL CID SA,07/05/2015. SERVICIO DISCRECIONAL AUTOBUS CASTELLON - ASILO LLEDO.,05/11/2015,"120,00 €",1,91200,226990,
2015.0004071,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"07/09/15. COMIDA CON MOTIVO DE LA REUNIÓN CON CONSELLER HACIENDA, GABINETE ALCALDIA, SECRETARIOS AUTONÓMICOS, DIRECTORES GENERALES Y ALCALDESA.",26/09/2015,"260,70 €",1,91200,226990,
2015.0005164,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,08/03/15. DECORACIÓN DE LA ERMITA DE LA MAGDALENA CON MOTIVO DE LA ROMERIA.,09/12/2015,"484,00 €",1,91200,226991,
2015.0002190,PASTELERIA JOVANI SL,08/03/2015. ALMUERZO EN SANT ROC DIA DE LA MAGDALENA. XIMOS FRITOS.,26/09/2015,"673,20 €",1,91200,226991,
2015.0002405,"SERVEIS HOSTALERS DE CASTELLO, S.L.",08/12/14. MENUS CONCERTADOS ALCALDÍA,24/09/2015,"259,97 €",1,91200,226990,
2015.0000438,"MONMAR GRUPO, S.L.",09/02/15. PAÑUELOS Y BLUSAS MAGDALENA,27/04/2015,"1.872,96 €",1,91200,226991,
2015.0000581,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,10 Y 17 DE ENERO 2015. CESTAS PRESENTACIONES GAITAS 19 Y 11.,27/04/2015,"750,00 €",1,91200,226991,
2015.0002854,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,10/06/2015. BANDAS DE HONOR EN SEDA CON ESCUDOS BORDADOS. FAJINES EN RASO DE SEDA CON ESCUDO BORDADO.,07/10/2015,"1.942,05 €",1,91200,226990,
2015.0001660,"LABORATORIOS KIN, S.A.",11 Y 12/03/15. CEPILLOS DIENTES CAMPAÑA SALUD BUCODENTAL EN COLEGIOS DE PRIMARIA DE CS,26/09/2015,"900,24 €",1,91200,226990,
2015.0000644,MEDITERRANEO HOLIDAYS SL,11/02/2015. BILLETES DE TREN ,27/04/2015,"133,00 €",1,91200,226990,
2015.0001399,AUTOS MEDITERRANEO S A,11/03/15. MICROBUS 19 PAX. PARA AUTORIDADES MASCLETA FIESTAS MAGDALENA.,18/05/2015,"100,00 €",1,91200,226991,
2015.0002400,GRABADOS MOLINA 99 SL,11/05/15. INAUGURACION COMPLEJO GAETA HUGUET,26/09/2015,"254,10 €",1,91200,226990,
2015.0004062,VALLS MIRALLES SLU,11/07/15. SUMINISTRO CATERING PALAU DE LA FESTA,05/11/2015,"161,05 €",1,91200,226991,
2015.0002396,"CORONAS CASTELLON, S.L.",13 Y 26/01/15. RAMO CENTENARIA Y CORONA P. MURRIA,26/09/2015,"210,00 €",1,91200,226990,
2015.0000771,DURACO ESTAMPACION Y SERIGRAFIA SL,13/02/15. ESTAMPACION SERIGRAFIA CINTAS + ESTAMPACION PUJADA A LA MAGDALENA PARA CAMINO LA PEDRERA  DE LA ASOCI. CULT. LA BARRACA,20/04/2015,"726,00 €",1,91200,226991,
2015.0000544,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,13/02/2015. REPORTAJE VIAJE INAGURAL TRAM,27/04/2015,"1.452,00 €",1,91200,226990,
2015.0002387,"SERVICIOS FUNERARIOS PELLICER, S.L.",13/05/15. CORONA 1 DEFUNCIÓN,26/09/2015,"193,60 €",1,91200,226990,
2015.0001004,"VIVAS RAPALO, S.A.",14/03/2015. COMIDA REINAS DE LAS FIESTAS DE LA MAGDALENA.,20/04/2015,"3.301,00 €",1,91200,226991,
2014.0004696,"CORONAS CASTELLON, S.L.",14/06/14. CESTAS DE FLORES PARA PRESENTACIÓN REINAS DEL GRAO.,26/01/2015,"375,00 €",1,91201,226990,
2015.0000583,MEDITERRANEO HOLIDAYS SL,15/01/2015. ESTANCIA HOTEL SILKEN ZENTRO EN ZARAGOZA DEL 14 AL 15 DE FEBRERO A FAVOR DE GONZALO ROMERO PARA EL ACTO DE PROCLAMACION DE LAS REINAS CASA DE VALENCIA.,27/04/2015,"95,00 €",1,91200,226990,
2015.0000331,VICENTE MIRAVETE SL,15/03/14. SUMINISTRO DE BANDEJAS VARIAS GALANIA DE LA REINA DE LAS FIESTAS MAGDALENA 2014.,24/09/2015,"802,82 €",1,91200,226991,
2015.0002395,"CORONAS CASTELLON, S.L.",15/03/15. RAMOS OFRENDA VIRGEN DEL LIDON,26/09/2015,"1.200,23 €",1,91200,226990,
2015.0001530,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,15/03/2015. TRABAJOS FOTOGRAFICOS MAGDALENA VITOL.,22/05/2015,"1.783,54 €",1,91200,226990,
2015.0004607,"CORONAS CASTELLON, S.L.",15/05/15. RAMOS REINA SANTA RITA 2015.,18/12/2015,"88,00 €",1,91200,226990,
2015.0004294,"MESON NAVARRO, S.L.","15/09/15. COMIDA CON MOTIVO DE LA REUNIÓN CELEBRADA CON ALCALDESA, JEFE GABINETE Y PRESIDENTE GENERALITAT.",13/10/2015,"120,40 €",1,91200,226990,
2015.0000434,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,15/11/14. CANASTAS DE FLORES PRESENTACIONES GAIATA.,24/09/2015,"750,00 €",1,91200,226991,
2015.0000740,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,16/01/2015. TOMOS DISCURSOS A LAS REINAS DE LAS FIESTAS 2015.,20/04/2015,"145,20 €",1,91200,226991,
2015.0000791,"LA AGENCIA PLANIFICACION PUBLICITARIA,SL","16/02/2015. STAND CEVISAMA 2015. DISEÑO, CREATIVIDAD Y REALIZACIÓN.",20/04/2015,"800,00 €",1,91200,226990,
2015.0002445,MARINA PORT CASTELLO SLU,16/04/2015. COMIDA RECEPCION DELEGACION JAPONESA UBE,26/09/2015,"420,00 €",1,91200,226990,
2015.0005906,"SANTOS BALLESTER, C.B.",16/11/15. CESTAS DE FLORES PARA FALLERA MAYOR E INFANTIL DE BURRIANA,30/12/2015,"300,01 €",1,91200,226991,
2015.0003150,LA HISPANO DEL CID SA,16/17 ABRIL 2015. SERVICIO  AUTOBUS IDA-VUELTA CS - MAGDALENA Y CS - GRAO. DELEGACION JAPONESA UBE,05/11/2015,"309,09 €",1,91200,226990,
2015.0001307,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"17/03/15. RECEPCION BANDAS INTERNACIONALES Y REINAS DE LA PROVINCIA, HOMENAJE A EMPRESAS COLABORADORAS Y REGALOS EMPRESAS COLABORADORAS",22/05/2015,"1.685,53 €",1,91200,226990,
2015.0002496,"J.PINAZO, S.L.",17/04/15. 2 BANDERAS DE JAPÓN. PROTOCOLO ALCALDÍA,23/09/2015,"151,25 €",1,91200,226990,
2015.0006258,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,17/10/15. CESTAS FLORES. ALCALDIA,30/12/2015,"750,00 €",1,91200,226990,
2015.0005673,"MESON NAVARRO, S.L.","17/11/15. COMIDA CON MOTIVO DE LA REUNIÓN CELEBRADA CON DIRECTOR DEL LEVANTE, REDACTOR JEFE, JEFA PRENSA Y JEFE DE GABINETE.",18/12/2015,"80,00 €",1,91200,226990,
